auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,quality_flag,analysis_group,gender,age_bucket
1.0,1.0,0.5,0.0,0.0,1.0,0.1843167868948001,0.28519708813946876,0.5525306117957088,0.5,12.0,corrupt,quality_flag,,
0.9388227513227513,0.9545069171011403,0.5,0.0,0.0,1.0,0.2312953794631863,0.20770137322678145,0.6517714765141962,0.5,110.0,mostly_silence,quality_flag,,
0.8601893848969523,0.7918769822290331,0.5,0.0,0.0,1.0,0.18114583587045693,0.12640311143455069,0.5466633714959278,0.5,496.0,ok,quality_flag,,
1.0,1.0,0.5,0.0,0.0,1.0,0.1769892133301793,0.3422539738389805,0.542446460274778,0.5,18.0,short,quality_flag,,
0.9284188034188035,0.9323995452225581,0.5,0.0,0.0,1.0,0.22525098895131518,0.1922412356459502,0.6392369159967416,0.5,194.0,,gender,female,
0.8430449127288207,0.7602090419833398,0.5,0.0,0.0,1.0,0.17445725172767562,0.13002021393341306,0.5327210467131817,0.5,440.0,,gender,male,
,,1.0,0.0,0.0,1.0,0.11427549932276172,0.33801671966245983,0.4125380239342466,0.5,2.0,,gender,other,
0.9069437883797827,0.8703611912703286,0.5,0.0,0.0,1.0,0.17648085323176624,0.16519324346933095,0.5366875859197207,0.5,204.0,,age_bucket,,30-44
0.8654891304347826,0.8870262706866664,0.5,0.0,0.0,1.0,0.21852517134964708,0.16695291476822774,0.6254820705743921,0.5,110.0,,age_bucket,,45-59
0.9795918367346939,0.989955775489702,0.5,0.0,0.0,1.0,0.26773314008143984,0.3694395807866655,0.7260732823282473,0.5,42.0,,age_bucket,,60+
0.8299002886381528,0.7269193512034354,0.5,0.0,0.0,1.0,0.17644206722934277,0.14925313461389367,0.5373283041301562,0.5,280.0,,age_bucket,,<30
