metric,point,mean,ci_low,ci_high,confidence,n_bootstraps,n_samples,fusion_method
auroc,0.8786633551591781,0.8782464231568033,0.8323665311657634,0.9203533527820058,0.95,1000,318,quality_weighted_auprc
auprc,0.8323612863208201,0.8321453979139077,0.7660722803703549,0.8850933721981386,0.95,1000,318,quality_weighted_auprc
brier,0.18954298523161822,0.18940914399710412,0.1738602505648136,0.20445404563683223,0.95,1000,318,quality_weighted_auprc
ece,0.1503736522927272,0.1649135069448435,0.133396693129618,0.20304467107206103,0.95,1000,318,quality_weighted_auprc
