auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,feature_strategy,calibration_method,source_rows,validation_rows,external_rows,n_features
0.5098656409853867,0.037953942801198945,0.5131022933919437,0.066543438077634,0.3157894736842105,0.7104151130996769,0.08454845393574145,0.2022324128991048,0.32250059328338043,0.26602386832082686,8331.0,logistic_regression,cough,all,platt,2957,634,8331,253
0.48276227481455314,0.03566430591249229,0.49090754477543597,0.05829903978052126,0.2982456140350877,0.6835694755157843,0.118836814479952,0.2710336683370878,0.4086301898256503,0.3534633224048336,8331.0,logistic_regression,cough,drop_high_shift,platt,2957,634,8331,232
0.534794231414978,0.04217596348257965,0.5318576082263825,0.0724191063174114,0.49473684210526314,0.5689783743475019,0.11509225252725758,0.28451189703495494,0.41079578204214673,0.3207823601932191,8331.0,logistic_regression,cough,top_stable_50,platt,2957,634,8331,50
0.5184517969046405,0.038637814708877664,0.49529481795465546,0.05764192139737991,0.23157894736842105,0.7590106885408899,0.11091501201052462,0.2613305537382811,0.3917482657827385,0.3584202176063816,8331.0,logistic_regression,cough,top_stable_80,platt,2957,634,8331,80
0.515641203431148,0.03708432663911589,0.5166516215968706,0.06813132559861762,0.4842105263157895,0.5490927168779518,0.11048176969619414,0.2580396562297406,0.38935645827601273,0.2869522695000375,8331.0,logistic_regression,cough,top_stable_120,platt,2957,634,8331,120
0.5239661420516242,0.03945242298860676,0.5083787956094562,0.0641399416909621,0.27017543859649124,0.7465821526224211,0.10203956224734191,0.2506751959451328,0.37371686605459237,0.3327724666743353,8331.0,random_forest,cough,all,platt,2957,634,8331,253
0.5185512251919882,0.036993618784395915,0.495628426024046,0.05411764705882353,0.16140350877192983,0.8298533432761621,0.11201089681286787,0.2694194626638824,0.3979243626580809,0.3824652386850184,8331.0,random_forest,cough,drop_high_shift,platt,2957,634,8331,232
0.4977615552677368,0.035881282110951214,0.49849680128733465,0.06379724710509067,0.512280701754386,0.48471290082028334,0.11680964632528505,0.28489517028356715,0.4135386187980328,0.30946945975438717,8331.0,random_forest,cough,top_stable_50,platt,2957,634,8331,50
0.4902948397591045,0.033511410804589664,0.4875701558145924,0.05515587529976019,0.24210526315789474,0.7330350484712901,0.11009245611628533,0.26946390986078717,0.39589072741812026,0.33700681048596093,8331.0,random_forest,cough,top_stable_80,platt,2957,634,8331,80
0.48886315963909277,0.03378311668884447,0.49311851590198463,0.062183325656379546,0.47368421052631576,0.5125528212776534,0.11182417973952793,0.273723947789373,0.40063128159092276,0.30391388513353246,8331.0,random_forest,cough,top_stable_120,platt,2957,634,8331,120
0.5081790668568015,0.03682626373285325,0.5052010152151445,0.0639269406392694,0.34385964912280703,0.666542381307482,0.10648698706201572,0.2312039731620879,0.3693080216136242,0.30101558704555226,8331.0,xgboost,cough,all,platt,2957,634,8331,253
