auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,metric_split,threshold_source,skipped,n_features,n_participants,n_ensemble_models,ensemble_members,modality_combination,fusion_method
0.7514380009429513,0.6468306391347437,0.696958981612447,0.5766871165644172,0.46534653465346537,0.9285714285714286,0.1966350620987703,0.13416389402639256,0.6169997212701012,0.7221342044694458,311.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.7994894935958794,0.691681125782679,0.703131409818132,0.5909090909090909,0.5048543689320388,0.9014084507042254,0.18290575802383766,0.14111817697425977,0.5805774239183359,0.7221342044694458,316.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.752050919377652,0.6487078835073501,0.6896275341819896,0.5644171779141104,0.45544554455445546,0.9238095238095239,0.1963903583653466,0.1404270972204866,0.6318462688747639,0.6953520889344166,311.0,clean_internal_protocol,strong_audio_modality,logistic_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.7967546378595196,0.6901959023642109,0.688887369524591,0.5698324022346368,0.49514563106796117,0.8826291079812206,0.18401646458904725,0.1335434424764575,0.6045007225552533,0.6953520889344166,316.0,clean_internal_protocol,strong_audio_modality,logistic_smote_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7618104667609619,0.6901251271225515,0.7342527109853842,0.6415094339622641,0.6732673267326733,0.7952380952380952,0.18201030643630953,0.11471125008984111,0.5498749005278741,0.37522254554396955,311.0,clean_internal_protocol,strong_audio_modality,extra_trees_f100,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8222799580655453,0.7370763807643799,0.7537490314052601,0.6666666666666666,0.7281553398058253,0.7793427230046949,0.17194250884125156,0.14514184197445068,0.5252527112985761,0.37522254554396955,316.0,clean_internal_protocol,strong_audio_modality,extra_trees_f100,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7753889674681753,0.7044025416397016,0.7427157001414427,0.6521739130434783,0.7425742574257426,0.7428571428571429,0.18698154402213177,0.15865291890496802,0.5622318627168725,0.4134375,311.0,clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8211632253065317,0.7513946751210691,0.735607821687406,0.6448979591836734,0.7669902912621359,0.704225352112676,0.1785109131018934,0.17693200381705484,0.5425079015488774,0.4134375,316.0,clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7785478547854785,0.7024669238548296,0.7403347477604904,0.6493506493506493,0.7425742574257426,0.7380952380952381,0.1755122711314351,0.10639754054176986,0.5354758326897333,0.34252163533353885,311.0,clean_internal_protocol,strong_audio_modality,random_forest_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8373216646155249,0.7539714325020228,0.7406217238707324,0.6506024096385542,0.7864077669902912,0.6948356807511737,0.162861250813628,0.1478874186103347,0.5039950219985372,0.34252163533353885,316.0,clean_internal_protocol,strong_audio_modality,random_forest_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7873173031588873,0.7285886085915633,0.7399575671852899,0.6488888888888888,0.7227722772277227,0.7571428571428571,0.1811583934190711,0.13964622357663564,0.5494625715301129,0.42292857142857143,311.0,clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.826336660741146,0.7474206119745415,0.7377957062764939,0.6473029045643154,0.7572815533980582,0.7183098591549296,0.17340090396996358,0.15532170037538862,0.5299665743040083,0.42292857142857143,316.0,clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7893446487505893,0.7079316124830702,0.7409005186232909,0.65,0.7722772277227723,0.7095238095238096,0.18115165423545038,0.09081896405755299,0.5453188004969611,0.32808220875340377,311.0,clean_internal_protocol,strong_audio_modality,svc_rbf_f60,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8588814440038289,0.7787404894227233,0.7769497242353799,0.6901960784313725,0.8543689320388349,0.6995305164319249,0.1654126336236136,0.14627294533135984,0.509297326852641,0.32808220875340377,316.0,clean_internal_protocol,strong_audio_modality,svc_rbf_f60,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7933757661480434,0.7263291680880638,0.7195190947666195,0.6162790697674418,0.5247524752475248,0.9142857142857143,0.16649545644000363,0.10429119515768775,0.5090990139545772,0.5777712315320969,311.0,clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8461643648297552,0.770884141866226,0.746661196955194,0.6593406593406593,0.5825242718446602,0.9107981220657277,0.1495441194446273,0.10672252154555407,0.46618794257529395,0.5777712315320969,316.0,clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.8031117397454031,0.7415143417025136,0.7407590759075908,0.65,0.5148514851485149,0.9666666666666667,0.15572067345415078,0.09114472705310558,0.49282532021421355,0.6083260489854785,311.0,clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8718720087515384,0.8134984857048096,0.7656000729294863,0.6892655367231638,0.5922330097087378,0.9389671361502347,0.1250089263372238,0.05723539885324779,0.40708548232594494,0.6083260489854785,316.0,clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.8004007543611504,0.7434051138717988,0.7222772277227723,0.6214689265536724,0.5445544554455446,0.9,0.16157568187799098,0.08032793174766696,0.4982856424128446,0.5601264347270762,311.0,clean_internal_protocol,strong_audio_modality,catboost_smote_f80,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8493550298555085,0.7770934350980494,0.7637312548429737,0.6844919786096256,0.6213592233009708,0.9061032863849765,0.14526329792156653,0.09484430287257178,0.45554282502941673,0.5601264347270762,316.0,clean_internal_protocol,strong_audio_modality,catboost_smote_f80,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.7863272041489865,0.7246544186557868,0.7415134370579916,0.6511627906976745,0.5544554455445545,0.9285714285714286,0.18799513296022255,0.1618571425531099,0.5640555069936064,0.5465181970283484,311.0,clean_internal_protocol,strong_audio_modality,optuna_validation_search,cough,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.823601805004786,0.7206470406993857,0.7396189434340672,0.6486486486486487,0.5825242718446602,0.8967136150234741,0.1832406647987905,0.1572334679733124,0.5514088762025183,0.5465181970283484,316.0,clean_internal_protocol,strong_audio_modality,optuna_validation_search,cough,test,validation_balanced_accuracy,False,2177.0,316.0,,,,
0.719298245614035,0.5962305623168103,0.6972355130249868,0.5888324873096447,0.5858585858585859,0.8086124401913876,0.20756696583209505,0.14279202749630213,0.7268842183313355,0.5058849292992423,308.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.7819435972033222,0.6383972320464719,0.7470085871146357,0.6572769953051644,0.693069306930693,0.8009478672985783,0.18741457921032043,0.1281735648899172,0.6433303601969275,0.5058849292992423,312.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7205548306026776,0.5976683048074054,0.7004253056884635,0.5951219512195122,0.6161616161616161,0.784688995215311,0.20572736388947757,0.14432305783070545,0.7625503482962318,0.48895204742943094,308.0,clean_internal_protocol,strong_audio_modality,logistic_smote_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.7637839613345221,0.6274328167201121,0.7108300877481113,0.6118721461187214,0.6633663366336634,0.7582938388625592,0.19707470078340938,0.15666908175941452,0.6864318066116665,0.48895204742943094,312.0,clean_internal_protocol,strong_audio_modality,logistic_smote_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7427867188632739,0.6436519167389312,0.7198298777246146,0.62,0.6262626262626263,0.8133971291866029,0.17745956900146087,0.09152610070985742,0.5394561073421578,0.37741363850053794,308.0,clean_internal_protocol,strong_audio_modality,extra_trees_f100,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8333724367697434,0.7229993970114676,0.7668105673126555,0.6820276497695853,0.7326732673267327,0.8009478672985783,0.15780854122386895,0.11281365167546056,0.4927427220425283,0.37741363850053794,312.0,clean_internal_protocol,strong_audio_modality,extra_trees_f100,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7465806389251367,0.6497642237625935,0.7291334396597554,0.6321243523316062,0.6161616161616161,0.8421052631578947,0.17929858117650976,0.08722315951047278,0.5428463727490574,0.4452083333333334,308.0,clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8385106283140162,0.7404035740592847,0.7810285767913284,0.7014218009478673,0.7326732673267327,0.8293838862559242,0.16015091764204983,0.13092547889907452,0.5001280494760657,0.4452083333333334,312.0,clean_internal_protocol,strong_audio_modality,extra_trees_smote_f100,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7399352375428931,0.6422173119876573,0.7381711855396066,0.644808743169399,0.5959595959595959,0.8803827751196173,0.17688343077365776,0.11052096683913767,0.5397145961063468,0.40137546684763425,308.0,clean_internal_protocol,strong_audio_modality,random_forest_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.830744685842992,0.7131876303505218,0.7633851062831403,0.6798029556650246,0.6831683168316832,0.8436018957345972,0.156830847494481,0.09700357877493132,0.4878351838984133,0.40137546684763425,312.0,clean_internal_protocol,strong_audio_modality,random_forest_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7473780870910058,0.6604669092189908,0.7413609782030834,0.6492146596858639,0.6262626262626263,0.8564593301435407,0.17854848954393748,0.10837492104121024,0.5419110194973492,0.44642708333333336,308.0,clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8363286565623387,0.730733458111032,0.7663882501994275,0.6824644549763034,0.7128712871287128,0.8199052132701422,0.1609327714673069,0.13004538614607383,0.5007618361214924,0.44642708333333336,312.0,clean_internal_protocol,strong_audio_modality,random_forest_smote_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7689333526654101,0.6463995046569749,0.7355130249867092,0.6413502109704642,0.7676767676767676,0.7033492822966507,0.17526407568437127,0.06930945946785962,0.5312864927719012,0.29172407469435774,308.0,clean_internal_protocol,strong_audio_modality,svc_rbf_f60,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8262399699685609,0.7005928082163924,0.7437004363943504,0.6518518518518519,0.8712871287128713,0.6161137440758294,0.16512403667832679,0.09382878334384308,0.5064587931277988,0.29172407469435774,312.0,clean_internal_protocol,strong_audio_modality,svc_rbf_f60,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7826591271567349,0.6976989552140853,0.7309941520467835,0.6344086021505376,0.5959595959595959,0.8660287081339713,0.16662646563520747,0.07839868174088731,0.5129592226178834,0.48385390639305115,308.0,clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8289381070808504,0.7431948065002367,0.7614377551499225,0.6761904761904762,0.7029702970297029,0.8199052132701422,0.15618723523419206,0.08311779397459196,0.48384703460496054,0.48385390639305115,312.0,clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7816441931274468,0.7125532159696,0.7514619883040936,0.6632124352331606,0.6464646464646465,0.8564593301435407,0.16208686467794436,0.0925316343915594,0.5446269934772708,0.38390652175025586,308.0,clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.834920932851579,0.7633040518760185,0.7642297405095959,0.6790697674418604,0.7227722772277227,0.8056872037914692,0.14444214125067353,0.06043782533141372,0.4658873467013997,0.38390652175025586,312.0,clean_internal_protocol,strong_audio_modality,lightgbm_smote_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7727514378232082,0.7072518740985307,0.736842105263158,0.6428571428571429,0.6363636363636364,0.8373205741626795,0.1646885205034765,0.06618459287995912,0.5165552890294082,0.4258014455343885,308.0,clean_internal_protocol,strong_audio_modality,catboost_smote_f80,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8367040495518745,0.7658553206239996,0.7618600722631506,0.6759259259259259,0.7227722772277227,0.8009478672985783,0.14895425211520516,0.07515071789784698,0.4664924322624348,0.4258014455343885,312.0,clean_internal_protocol,strong_audio_modality,catboost_smote_f80,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.7715915132183075,0.6648577065347251,0.732589048378522,0.6372549019607843,0.6565656565656566,0.8086124401913876,0.17848770092910135,0.11036884184688507,0.5400913131871381,0.48758403924144283,308.0,clean_internal_protocol,strong_audio_modality,optuna_validation_search,breath,validation,validation_balanced_accuracy,False,2177.0,308.0,,,,
0.8227675848153534,0.6900268746035847,0.7366383557787058,0.6443514644351465,0.7623762376237624,0.7109004739336493,0.17384487381742497,0.1291488539595813,0.5236135121863565,0.48758403924144283,312.0,clean_internal_protocol,strong_audio_modality,optuna_validation_search,breath,test,validation_balanced_accuracy,False,2177.0,312.0,,,,
0.8001885902876001,0.7101428115404161,0.7450966525223951,0.6550218340611353,0.7425742574257426,0.7476190476190476,0.16890130450625318,0.1105939223748994,0.5151216685343896,0.4507867465017672,311.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
0.8341657417684055,0.7059738105082634,0.7586477987421384,0.6692913385826772,0.8333333333333334,0.6839622641509434,0.1694691674755882,0.12303178008168007,0.5148431429656252,0.4507867465017672,314.0,clean_internal_protocol,strong_audio_modality,logistic_l2_f80,speech,test,validation_balanced_accuracy,False,2177.0,314.0,,,,
0.7937293729372936,0.6981752260166437,0.7471004243281472,0.6576576576576577,0.7227722772277227,0.7714285714285715,0.16857206193982474,0.08224286149594703,0.5132471610464496,0.4537755133787268,311.0,clean_internal_protocol,strong_audio_modality,logistic_smote_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,
