auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,selected_feature_k,fold,fold_unit,metric_split,threshold_source,skipped,n_selected_features,n_folds,auroc_std,auprc_std,balanced_accuracy_std,f1_std,sensitivity_std,specificity_std,brier_std,ece_std,nll_std
0.8066805609917063,0.7071425461774751,0.7418391077157787,0.6478375992939099,0.6427320490367776,0.8409461663947798,0.15845475891800367,0.0648395775766265,0.495275616437191,0.4027106044571882,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8067653931048495,0.7159667191628347,0.7374767960546367,0.6421725239616614,0.6320754716981132,0.8428781204111601,0.15526488631841248,0.06936794119206414,0.4893231173918671,0.4027106044571882,999.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7933921485159547,0.6851598986520108,0.7221925416329784,0.6233576642335766,0.7478108581436077,0.6965742251223491,0.1645619027753569,0.06226506516334569,0.5014611067312766,0.3552386217942149,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8013372860850212,0.6899301315921835,0.7245379990579891,0.6264744429882044,0.7515723270440252,0.697503671071953,0.161279151828961,0.05295506470787144,0.492672234427529,0.3552386217942149,999.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7886738871445591,0.6781196495407467,0.7152344274519102,0.6132686084142395,0.6637478108581436,0.766721044045677,0.1681202706183559,0.06459946888532649,0.5090410247992387,0.4380294680595398,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7939212589698834,0.6836135711451632,0.7262350040173995,0.6276747503566333,0.6918238993710691,0.7606461086637298,0.1662134160385923,0.06801358563219521,0.50420972725252,0.4380294680595398,999.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8062491607694351,0.6818817659326524,0.7442032380729267,0.6491499227202473,0.7355516637478109,0.7528548123980424,0.15893544738791637,0.026957346009159763,0.48613791644926846,0.32531847392364444,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,1,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7835452857894883,0.6550963998493253,0.721518022885324,0.6217765042979942,0.6823899371069182,0.7606461086637298,0.1663641378636063,0.029007574058706565,0.5064574008474726,0.32531847392364444,999.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,1,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8066877033794922,0.7143178432109254,0.7341746113826806,0.6371976647206005,0.6690017513134852,0.799347471451876,0.15709663073859817,0.05970573651390182,0.49452530476344025,0.3526032640630655,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,2,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8144769530564561,0.7038178036825422,0.7374560164020725,0.6416184971098265,0.6981132075471698,0.7767988252569751,0.15895665919236773,0.061044808905562215,0.48975623710373845,0.3526032640630655,999.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,2,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7887703093796693,0.6866226105897458,0.7229832039608826,0.6228430566967954,0.6637478108581436,0.7822185970636215,0.16576695687771348,0.06195336343182497,0.5034760446274098,0.43402372132063616,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,2,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7966803350603533,0.6764543738824054,0.720783808494722,0.6208869814020028,0.6823899371069182,0.7591776798825257,0.16702618561434765,0.06273763187815824,0.504241908629273,0.43402372132063616,999.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,2,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7876025289766672,0.6836133833192303,0.7151015790390918,0.6103542234332425,0.5884413309982487,0.8417618270799347,0.1685416723654262,0.06621777764731435,0.5102606138107234,0.5178163647651672,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,2,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7896568124936507,0.6630404549857413,0.7078034521929459,0.6015748031496063,0.60062893081761,0.8149779735682819,0.17205880198445653,0.0731685969240225,0.5153517397809702,0.5178163647651672,999.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,2,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8006716701473903,0.6832571400021068,0.7275900440828174,0.6292645943896892,0.7267950963222417,0.7283849918433931,0.1597526734315082,0.020373495930160836,0.4894916047056419,0.2934114420655271,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,2,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8220430554401131,0.7033491255536728,0.7424639126700469,0.6467532467532467,0.7830188679245284,0.7019089574155654,0.1534935470922984,0.042177105124315696,0.471135639778786,0.2934114420655271,999.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,2,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8042000097136475,0.6926461073797434,0.7319918976752956,0.63441712926249,0.7005253940455342,0.763458401305057,0.16148908207307122,0.054414023636587996,0.5001999152900586,0.28164120525293085,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,3,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8090765522400465,0.7073502048559851,0.7395478347602028,0.6440677966101694,0.7169811320754716,0.762114537444934,0.1563004548821699,0.045564145167685824,0.49290465346625373,0.28164120525293085,999.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,3,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7903837747805145,0.6723524006534225,0.7214961588238487,0.6215578284815106,0.691768826619965,0.7512234910277324,0.16463144434095373,0.036238210520792055,0.5000911228512848,0.3813214961172991,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,3,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.791854837964887,0.6716678710527775,0.7318939960657191,0.6346967559943583,0.7075471698113207,0.7562408223201175,0.16425905904841748,0.033995885901236776,0.5012184702267881,0.3813214961172991,999.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,3,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7895502581258946,0.6712279136709957,0.7219161312256623,0.6222910216718266,0.7040280210157618,0.7398042414355628,0.16605257415659597,0.049882768303763314,0.5052782418534785,0.39150673151016235,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,3,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7872163577424984,0.6663038912677041,0.7238176377690965,0.625,0.7075471698113207,0.7400881057268722,0.16639314048738316,0.054683949018048274,0.5078033121802569,0.39150673151016235,999.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,3,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.814275061924502,0.7040908708110921,0.7501764169783129,0.6574450772986168,0.7075306479859895,0.7928221859706363,0.15387327389869515,0.026022083096130244,0.47552282033944737,0.324348234585463,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,3,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8197757644603293,0.7258465206115018,0.7337849444490621,0.6370157819225251,0.6981132075471698,0.7694566813509545,0.15052908707311435,0.022025182792890414,0.46939098154539305,0.324348234585463,999.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,3,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8149978592835734,0.7152295356286011,0.7447559583273868,0.6512013256006628,0.6870629370629371,0.8024489795918367,0.1547269941591055,0.04461324519774021,0.48250295301985835,0.3443611250366188,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,4,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8064013303872111,0.697273773884991,0.7295821231534625,0.6310975609756098,0.6529968454258676,0.8061674008810573,0.1587833035643065,0.054666365361314626,0.49867827270045,0.3443611250366188,998.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,4,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8040252604538319,0.6965310569529032,0.7283573569287856,0.6306306306306306,0.7342657342657343,0.7224489795918367,0.16050309665968612,0.0506475984192042,0.48912589779239724,0.3673559096821932,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,4,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7932480069669302,0.6826192410448341,0.7209637895653543,0.621438263229308,0.722397476340694,0.7195301027900147,0.16246132866131807,0.05224661327897697,0.4978104574859161,0.3673559096821932,998.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,4,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7950406736121022,0.6825268266126525,0.7253988868274582,0.6265060240963856,0.6818181818181818,0.7689795918367347,0.16647989932751941,0.06687120264359794,0.5041895879566963,0.44021663069725037,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,4,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7834368645108094,0.6616162004837903,0.7142724792358612,0.611764705882353,0.6561514195583596,0.7723935389133627,0.16929086698499385,0.05763166340885457,0.5138455728679536,0.44021663069725037,998.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,4,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8095176252319111,0.6973320440356098,0.7422242043670615,0.6466275659824047,0.7709790209790209,0.713469387755102,0.1566837749118559,0.030780286320836965,0.48044200054937125,0.2876643983290818,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,4,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8026144517479861,0.7039253874047824,0.7227587932016843,0.6236559139784946,0.7318611987381703,0.7136563876651982,0.15587745577580103,0.02687696449739739,0.48237272714937507,0.2876643983290818,998.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,4,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8010468103325246,0.7086488872944785,0.7413928928214643,0.6478616924476797,0.6223776223776224,0.8604081632653061,0.15904454153192105,0.06567135831274859,0.5037273206724283,0.44318067239812275,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8192998790978196,0.7335763519249137,0.7338229640026497,0.6368159203980099,0.6056782334384858,0.8619676945668135,0.1523156595718881,0.06880777414250219,0.4753873878109058,0.44318067239812275,998.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7891522762951335,0.6913897259704563,0.7326230911945197,0.6355731225296443,0.7027972027972028,0.7624489795918368,0.16567953540759345,0.06745835619165447,0.50856178627917,0.41900535229420854,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8021952315438885,0.7131586952494161,0.7222399792474419,0.6216216216216216,0.6529968454258676,0.7914831130690162,0.1585072255373125,0.051590848441014005,0.48681969463167174,0.41900535229420854,998.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7835557299843015,0.6773561743324769,0.7235171970886256,0.6250927988121752,0.736013986013986,0.7110204081632653,0.17105206244895582,0.07714262169422492,0.5217142270720738,0.4164223372936249,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7994645098829426,0.7005345321725991,0.7187333527888566,0.6183844011142061,0.7003154574132492,0.737151248164464,0.16350037064499442,0.06627610497426743,0.4970596328301456,0.4164223372936249,998.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8060011417154275,0.7014545382749122,0.7370079920079919,0.6412859560067682,0.6625874125874126,0.8114285714285714,0.1560719215869329,0.026094322133900148,0.4815803844242757,0.35761141036226035,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,5,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8027626843063411,0.7117236665708782,0.7296631878338128,0.631083202511774,0.6340694006309149,0.8252569750367107,0.1549140204077849,0.024678517156278994,0.48006231855852144,0.35761141036226035,998.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,5,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8031989439132297,0.702526770151098,0.7446439275010703,0.6513994910941476,0.6713286713286714,0.8179591836734694,0.15795141165392837,0.05168342057206872,0.49982209831425317,0.37372821822443597,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7948600360390408,0.7057059504939205,0.7267263302714047,0.6271450858034321,0.6340694006309149,0.8193832599118943,0.1591664545124244,0.06232368205163684,0.5106664374704631,0.37372821822443597,998.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7849464820893393,0.6759466275103707,0.7302897102897103,0.6327329678935004,0.7062937062937062,0.7542857142857143,0.1670904517125931,0.05977309517823689,0.5099455556408771,0.40486638983235723,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7840205302093322,0.6918039559313881,0.7125052692042227,0.6100719424460431,0.668769716088328,0.7562408223201175,0.16493751874091134,0.06729832350221956,0.5058770930272727,0.40486638983235723,998.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7791301555587269,0.6688650798172993,0.720154131582703,0.6198547215496368,0.6713286713286714,0.7689795918367347,0.17208327186632041,0.06761122454096692,0.5203448323572597,0.45072025060653687,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7733894764148104,0.67843484655976,0.6992338229640027,0.5919282511210763,0.6246056782334385,0.7738619676945668,0.17122372207183056,0.0709714269263666,0.5208742766195157,0.45072025060653687,998.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8007114314257172,0.6991092632821079,0.7333309547595261,0.6364385820280297,0.6748251748251748,0.7918367346938775,0.1574964565205745,0.02918135571020598,0.48609314089512845,0.36584859594994795,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,6,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7920111915581559,0.6798271500142883,0.7141358273461276,0.6106870229007634,0.6309148264984227,0.7973568281938326,0.1619960568165143,0.03115072035972846,0.4959723052371362,0.36584859594994795,998.0,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,speech,compare_is10_top800_lightgbm,800.0,6,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8060460967603824,0.7093659071256047,0.7403275296132439,0.6455379482902419,0.6765734265734266,0.8040816326530612,0.15693227759406606,0.05231816601009088,0.4964012259973856,0.3317165147498474,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,7,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.8141928042357452,0.7134708513993928,0.7323568513551699,0.6347826086956522,0.6908517350157729,0.7738619676945668,0.15503344538946232,0.0499009905963983,0.4823817199023885,0.3317165147498474,998.0,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,speech,compare_is10_top800_lightgbm,800.0,7,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7967161410018553,0.6834283513244678,0.7314778079063793,0.6338893766461808,0.6311188811188811,0.8318367346938775,0.16221876833816734,0.04594068744666305,0.49647587122298714,0.4557263519253745,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,7,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7966318783381277,0.6853549390388648,0.72033611732607,0.6189024390243902,0.6403785488958991,0.8002936857562408,0.16381826746033937,0.057880203373296316,0.4989828651366093,0.4557263519253745,998.0,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,7,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7916069644641073,0.674259126014525,0.7305751391465678,0.6331811263318112,0.7272727272727273,0.7338775510204082,0.16540650140850285,0.053828600132770514,0.5045709565846523,0.390649676322937,1797.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,7,recording,validation,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
0.7950870171440219,0.6829638980904984,0.7124797917332555,0.6121372031662269,0.7318611987381703,0.6930983847283406,0.1662627470317533,0.07130663713089419,0.5041880780414075,0.390649676322937,998.0,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,speech,compare_is10_top800_lightgbm,800.0,7,recording,test,inner_validation_balanced_accuracy,False,800.0,,,,,,,,,,
