feature,source_mean,external_mean,source_std,external_std,standardized_mean_difference,abs_standardized_mean_difference,ks_statistic,n_source,n_external
duration_sec,4.777806980656013,4.0,0.41572019616418604,0.0,-2.645905299433371,2.645905299433371,0.7778069806560135,19024,8331
mfcc_1_std,128.35873258091303,207.56737961137785,64.6448317391665,29.68004639180175,1.5747238377150965,1.5747238377150965,0.6176375053644121,19024,8331
delta_mfcc_1_std,20.70747721250705,32.404907799880135,12.255220534177806,7.403086268345946,1.1553599946201791,1.1553599946201791,0.5150766667989156,19024,8331
active_audio_ratio,0.66088010460636,0.4115469784318181,0.2774592635848285,0.22197073614482463,-0.9923255080312943,0.9923255080312943,0.4587862671354539,19024,8331
delta2_mfcc_1_std,10.02967278429487,15.179807091009291,6.148721534239451,4.266787957121834,0.9731411629885358,0.9731411629885358,0.42243274079736437,19024,8331
mfcc_4_mean,17.667343903616676,2.221787361399635,25.963512066994124,9.345031400611221,-0.791570232788181,0.791570232788181,0.3601827960945969,19024,8331
event_duration_sec,6.894399991458159,3.4411516249549874,5.821222346985107,2.163940792102689,-0.7863373658480141,0.7863373658480141,0.32872231138091246,19024,8331
event_start_sec,1.1579269343986545,2.361528748049454,1.5537516428650986,1.5306293960594262,0.7803940878909571,0.7803940878909571,0.4662348245565949,19024,8331
mfcc_10_mean,-6.562609967031795,-0.3994461893996353,9.908965798363507,5.239437709739535,0.7775732611041393,0.7775732611041393,0.32939083750851417,19024,8331
mfcc_22_mean,-2.4219473101139566,0.6996277360535897,5.111766109253929,2.669275212818593,0.7654988695476534,0.7654988695476534,0.3675154211387768,19024,8331
mfcc_12_mean,-4.801849215589742,-0.04120723658762888,8.301311812673603,4.456332369610223,0.7145474334054711,0.7145474334054711,0.33826928646833554,19024,8331
mfcc_20_mean,-2.7458783480464963,0.19457769335091754,5.2443560724053,2.7048347959125767,0.7047004395320742,0.7047004395320742,0.32707686537428127,19024,8331
mfcc_19_mean,-6.955389686361877,-3.7601384574999406,5.779641912390737,3.4201572655365444,0.6728343613047442,0.6728343613047442,0.30004962996030815,19024,8331
mfcc_9_mean,-12.460886448453913,-6.158858317773575,11.540325809348145,6.547260454280139,0.6716880062567192,0.6716880062567192,0.28477746056532494,19024,8331
mfcc_21_mean,-6.004832580795353,-3.279164498924085,5.489870664664398,3.145136773682661,0.6092240925657757,0.6092240925657757,0.2822753301959031,19024,8331
mfcc_6_mean,-7.09940279146418,0.05360300925640449,15.14477062728549,7.310994171288697,0.6015038223463798,0.6015038223463798,0.28776214825432866,19024,8331
mfcc_24_mean,-1.9002581911356446,0.566423979005393,5.508023646605722,2.374687722704012,0.5815662481400904,0.5815662481400904,0.34085819260679784,19024,8331
