auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method,source_rows,external_rows,n_features,feature_strategy,validation_rows,dataset,train_rows,test_rows
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,cough,ml_baseline_metrics,,,,,,,,,,
0.4794536012643938,0.3156724058308153,0.4794536012643937,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,cough,ml_baseline_metrics,,,,,,,,,,
0.7963422894558592,0.6715989816286063,0.7394107021901106,0.6476578411405295,0.7718446601941747,0.7069767441860465,0.1882896117008212,0.1574655461283426,0.5665048862465664,0.5,636.0,logistic_regression,cough,ml_baseline_metrics,,,,,,,,,,
0.8043576428087604,0.7169128559943263,0.6574170241589523,0.4932432432432432,0.3543689320388349,0.9604651162790696,0.1715386034235444,0.1151887699250958,0.5244061456095741,0.5,636.0,random_forest,cough,ml_baseline_metrics,,,,,,,,,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,breath,ml_baseline_metrics,,,,,,,,,,
0.4794536012643938,0.3156724058308153,0.4794536012643937,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,breath,ml_baseline_metrics,,,,,,,,,,
0.7623391284714381,0.5755500072559496,0.6901670806051028,0.5950095969289827,0.7524271844660194,0.627906976744186,0.202071345856019,0.1440608497706545,0.5862017272899469,0.5,636.0,logistic_regression,breath,ml_baseline_metrics,,,,,,,,,,
0.7970365771054415,0.674904822278262,0.6776473244524723,0.5426829268292683,0.4320388349514563,0.9232558139534884,0.1690079487244462,0.0737251767801886,0.5164544666172431,0.5,636.0,random_forest,breath,ml_baseline_metrics,,,,,,,,,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,1590.0,dummy_most_frequent,speech,ml_baseline_metrics,,,,,,,,,,
0.5145947166403251,0.3306832753251511,0.5145947166403251,0.3427458617332035,0.341747572815534,0.6874418604651162,0.4245283018867924,0.4245283018867924,5.865075812337534,0.5,1590.0,dummy_stratified,speech,ml_baseline_metrics,,,,,,,,,,
0.7479620681869497,0.6020342762851154,0.6740076766764507,0.5781845919145691,0.7359223300970874,0.6120930232558139,0.2102352500243407,0.1627207080638691,0.6046506354353683,0.5,1590.0,logistic_regression,speech,ml_baseline_metrics,,,,,,,,,,
0.7564732445247234,0.6171794922297267,0.6432106570331904,0.4733420026007802,0.3533980582524272,0.9330232558139536,0.1816984147488406,0.0713138412374123,0.5456342229362565,0.5,1590.0,random_forest,speech,ml_baseline_metrics,,,,,,,,,,
0.7498532400090314,0.5586627620061636,0.6687852788439828,0.5775401069518716,0.7864077669902912,0.5511627906976744,0.2236653833401576,0.1968384565840132,0.6423709067245666,0.5,636.0,compact_cnn,cough,cnn_metrics,,,,,,,,,,
