auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,quality_flag,analysis_group,gender,age_bucket
1.0,1.0,0.5,0.0,0.0,1.0,0.18418825796955685,0.2841879880852276,0.5520964863914242,0.5,12.0,corrupt,quality_flag,,
0.9358465608465608,0.9523040615107273,0.5,0.0,0.0,1.0,0.2300894989715431,0.20723412060745255,0.649325383220375,0.5,110.0,mostly_silence,quality_flag,,
0.8600700246677808,0.7904324607551197,0.5,0.0,0.0,1.0,0.18080691268655652,0.12298026192246543,0.5459288155096604,0.5,496.0,ok,quality_flag,,
1.0,1.0,0.5,0.0,0.0,1.0,0.1756157226900684,0.408280610861302,0.5397166379943764,0.5,18.0,short,quality_flag,,
0.9193376068376069,0.9259253973456198,0.5,0.0,0.0,1.0,0.22437728991603922,0.18424834154298977,0.6375852175206883,0.5,194.0,,gender,female,
0.8478341847594721,0.7630575386936819,0.5,0.0,0.0,1.0,0.17409801019552062,0.12988755485642975,0.5318833705881625,0.5,440.0,,gender,male,
,,1.0,0.0,0.0,1.0,0.11454847685850239,0.3384412735798998,0.4131633549118582,0.5,2.0,,gender,other,
0.9044638639584317,0.8712332109325278,0.5,0.0,0.0,1.0,0.1755564762620189,0.18817258346187138,0.5347615431744114,0.5,204.0,,age_bucket,,30-44
0.8722826086956521,0.8869329718861161,0.5,0.0,0.0,1.0,0.21749708075152005,0.14733859162651364,0.6231357686577312,0.5,110.0,,age_bucket,,45-59
0.9770408163265305,0.9887275064042901,0.5,0.0,0.0,1.0,0.26527680309910046,0.3678394132523638,0.7209776101426559,0.5,42.0,,age_bucket,,60+
0.8265547100498557,0.7148021838469119,0.5,0.0,0.0,1.0,0.17671996397563006,0.13947088797606197,0.5379614035060956,0.5,280.0,,age_bucket,,<30
