covariate,type,n_positive,n_negative,max_abs_standardized_difference,details_json
age_bucket,categorical,5598,5598,0.0,"{""30-44"":0.0,""45-59"":0.0,""60+"":0.0,""<30"":0.0}"
gender,categorical,5598,5598,0.0,"{""female"":0.0,""male"":0.0,""other"":0.0}"
