"model_name","modality","auroc","auprc","balanced_accuracy","f1","sensitivity","specificity","n_samples","feature_strategy"
"lightgbm_smote_f80","cough","0.5427764040974921","0.040485313877507194","0.5101639258474299","0.0583232077764277","0.08421052631578947","0.9361173253790703","8331.0","compare_is10_top800_lightgbm"
"xgboost_smote_f80","cough","0.531839728578219","0.03946224706546038","0.5050708426547352","0.06268041237113402","0.26666666666666666","0.7434750186428039","8331.0","compare_is10_top800_lightgbm"
"catboost_smote_f80","cough","0.5313295044720925","0.040459341882130725","0.5064314402710729","0.059420289855072465","0.14385964912280702","0.8690032314193388","8331.0","compare_is10_top800_lightgbm"
"svc_rbf_f60","cough","0.522621243638552","0.03698601978057883","0.5002322173816346","0.058231868713605084","0.19298245614035087","0.8074819786229183","8331.0","compare_is10_top800_lightgbm"
