"branch","source_file","model_name","modality","submodality","auroc","auprc","balanced_accuracy","f1","sensitivity","specificity","n_samples"
"CNN/spectrogram","cnn_metrics_cnn_bigru_breath.csv","cnn_bigru","breath",,"0.7096635809437797","0.5898895778375407","0.6492097538947844","0.5497076023391813","0.6844660194174758","0.6139534883720931","636.0"
"CNN/spectrogram","cnn_metrics_cnn_bigru_cough.csv","cnn_bigru","cough",,"0.7298487243170015","0.556323975687738","0.6863174531496952","0.5857740585774058","0.6796116504854369","0.6930232558139535","636.0"
"CNN/spectrogram","cnn_metrics_cnn_bigru_speech.csv","cnn_bigru","speech",,"0.6761869496500339","0.489620526153252","0.6381575976518401","0.523725834797891","0.5786407766990291","0.6976744186046512","1590.0"
"WavLM SSL transformer","sota_ssl_metrics_practical_wavlm_breath.csv","microsoft/wavlm-base-plus","breath","deep_breath","0.7819981950416733","0.6737273963093022","0.713914105218453","0.6022727272727273","0.5824175824175825","0.8454106280193237","298.0"
"WavLM SSL transformer","sota_ssl_metrics_practical_wavlm_breath.csv","microsoft/wavlm-base-plus","breath","shallow_breath","0.7902813299232736","0.6540444155149814","0.7306052855924978","0.6271186440677966","0.8043478260869565","0.6568627450980392","296.0"
"WavLM SSL transformer","sota_ssl_metrics_practical_wavlm_cough.csv","microsoft/wavlm-base-plus","cough","heavy_cough","0.7887945192623529","0.6955458555659949","0.7299985922762893","0.6355140186915887","0.6732673267326733","0.7867298578199052","312.0"
"WavLM SSL transformer","sota_ssl_metrics_practical_wavlm_cough.csv","microsoft/wavlm-base-plus","cough","shallow_cough","0.7897812971342384","0.7306182292276762","0.712575414781297","0.6138613861386139","0.6078431372549019","0.8173076923076923","310.0"
