auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,feature_strategy,adaptation_method,representation,calibration_method,source_rows,validation_rows,external_rows,n_features,mmd_before,mmd_after,mmd_reduction
0.5099149190400809,0.037960204569035455,0.5092160864502793,0.06510969568294409,0.32280701754385965,0.695625155356699,0.08454355298337557,0.20221295691267951,0.32248215242287387,0.25996150747166374,8331,logistic_regression,cough,all,source_only,mfcc,platt,2957,634,8331,252,0.008226948414634672,0.008226948414634672,0.0
0.5389571368141955,0.04164302130486038,0.5216583591716054,0.06927949326999208,0.6140350877192983,0.4292816306239125,0.1325528330365672,0.28570637906240726,0.4342439016597444,0.26463742940086105,8331,logistic_regression,cough,all,coral,mfcc,platt,2957,634,8331,252,0.008226948414634672,0.004801812613019707,0.0034251358016149647
0.48276227481455314,0.03566430591249229,0.49090754477543597,0.05829903978052126,0.2982456140350877,0.6835694755157843,0.118836814479952,0.2710336683370878,0.4086301898256503,0.3534633224048336,8331,logistic_regression,cough,drop_high_shift,source_only,mfcc,platt,2957,634,8331,232,0.008115579191266709,0.008115579191266709,0.0
0.49921024285795274,0.03886552548837112,0.48787301961092144,0.05900887997708393,0.36140350877192984,0.614342530449913,0.12683942733659145,0.2830461262067202,0.42581154638790775,0.34142839024270566,8331,logistic_regression,cough,drop_high_shift,coral,mfcc,platt,2957,634,8331,232,0.008115579191266709,0.0048600577829285285,0.00325552140833818
0.5469528282550772,0.038937394785215684,0.5246732603320381,0.07386363636363637,0.1824561403508772,0.8668903803131991,0.07042277717966451,0.15774988259417105,0.2766895643607747,0.3164069494678693,8331,logistic_regression,cough,all,source_only,opensmile_egemaps,platt,2861,611,8331,92,0.005209196617769418,0.005209196617769418,0.0
0.5499901879979591,0.03992704002402058,0.5357300783651896,0.07322987390882638,0.5298245614035088,0.5416355953268704,0.1416616345798647,0.2872281608896079,0.4483455966146669,0.31183253198776084,8331,logistic_regression,cough,all,coral,opensmile_egemaps,platt,2861,611,8331,92,0.005209196617769418,0.025176702325135025,-0.019967505707365607
0.551946483160424,0.03911401509411196,0.5168341248348313,0.06787330316742081,0.21052631578947367,0.8231419338801889,0.08046916805696275,0.18047197276055296,0.3029315739490345,0.3244711174219144,8331,logistic_regression,cough,drop_high_shift,source_only,opensmile_egemaps,platt,2861,611,8331,90,0.005207409121568807,0.005207409121568807,0.0
0.5513691013514397,0.039761021370310186,0.5294340437222811,0.07170099160945843,0.49473684210526314,0.564131245339299,0.14132396018403148,0.29035380306096237,0.4491201665491662,0.3312888474768037,8331,logistic_regression,cough,drop_high_shift,coral,opensmile_egemaps,platt,2861,611,8331,90,0.005207409121568807,0.025177077079196142,-0.019969667957627335
0.541583264649319,0.037862025178125765,0.5079326765833301,0.06125166444740346,0.16140350877192983,0.8544618443947303,0.08972270015173908,0.2001005648278299,0.328245468875841,0.38436426494007514,8331,logistic_regression,cough,all,source_only,beats,platt,2861,611,8331,772,0.055279550905186214,0.055279550905186214,0.0
0.5491489723563197,0.04001342756184869,0.5186094430707642,0.06876993973768167,0.34035087719298246,0.6968680089485458,0.14105121939510368,0.28387547145508757,0.44510041782651805,0.43185893521165203,8331,logistic_regression,cough,all,coral,beats,platt,2861,611,8331,772,0.055279550905186214,0.0044674412615084425,0.05081210964367777
0.5529926606224734,0.039362181836552976,0.5153662493295131,0.06679269061121614,0.18596491228070175,0.8447675863783246,0.0914888890337633,0.20056880445600067,0.33061885864650575,0.3753217480581866,8331,logistic_regression,cough,drop_high_shift,source_only,beats,platt,2861,611,8331,742,0.03592000028584208,0.03592000028584208,0.0
0.5497180684746915,0.040666271327942566,0.515086280204613,0.06738351254480286,0.3298245614035088,0.7003479990057171,0.14325325229851582,0.28443700370353686,0.44863586939740224,0.44212302142261184,8331,logistic_regression,cough,drop_high_shift,coral,beats,platt,2861,611,8331,742,0.03592000028584208,0.004752828541216392,0.031167171744625688
0.4988168905983577,0.03468428078332398,0.4927227651530018,0.055658627087198514,0.21052631578947367,0.7749192145165299,0.11159855030142045,0.2639107520677577,0.39476910738298093,0.3802667571980786,8331,logistic_regression,cough,all,source_only,panns,platt,2861,611,8331,1452,0.03341969864302763,0.03341969864302763,0.0
0.5001870821722465,0.03589533163418138,0.5030796603739027,0.06408185245018848,0.41754385964912283,0.5886154610986826,0.12750491121490742,0.29043397016164535,0.4305675434785829,0.33088504118732276,8331,logistic_regression,cough,all,coral,panns,platt,2861,611,8331,1452,0.03341969864302763,0.002417034016307551,0.031002664626720078
0.5024390456628771,0.034893436179714535,0.49261287073014376,0.055784179240969366,0.21403508771929824,0.7711906537409893,0.11514457138340485,0.2713951411929547,0.4036525950866005,0.39159250737451406,8331,logistic_regression,cough,drop_high_shift,source_only,panns,platt,2861,611,8331,1450,0.02226627297765038,0.02226627297765038,0.0
0.49926475398040215,0.03575130270693856,0.5094692361029345,0.06506469500924214,0.3087719298245614,0.7101665423813075,0.12755687463075305,0.29091486244274767,0.43092444109206113,0.4039530783782844,8331,logistic_regression,cough,drop_high_shift,coral,panns,platt,2861,611,8331,1450,0.02226627297765038,0.002587415099897794,0.019678857877752587
