baseline_name,candidate_name,model_column,metric,baseline_value,candidate_value,difference,ci_low,ci_high,p_two_sided_bootstrap,confidence,n_bootstraps,n_matched,modality
logistic_regression,dummy_most_frequent,model_name,auroc,0.75505757507338,0.5,-0.25505757507338,-0.29444650725367355,-0.21790704961104648,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,auprc,0.5660525173005319,0.3238993710691824,-0.24215314623134948,-0.3072733370670785,-0.18850210607568416,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,brier,0.18681587104127045,0.21899312305862872,0.03217725201735827,0.02467094182618811,0.04027437366553742,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,ece,0.05764174121215409,0.002134143495228724,-0.055507597716925365,-0.0825196335640179,-0.022087646858845445,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,auroc,0.75505757507338,0.5205463987356063,-0.23451117633777374,-0.2878077857371654,-0.18329823460694084,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,auprc,0.5660525173005319,0.3332680120020846,-0.23278450529844724,-0.29748566835624723,-0.1775161362990552,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,brier,0.18681587104127045,0.21876228722934513,0.03194641618807467,0.024536954570944722,0.04004466955939248,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,ece,0.05764174121215409,0.0020840369066089104,-0.05555770430554518,-0.08260282398360902,-0.022108666414559438,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,auroc,0.75505757507338,0.798600135470761,0.043542560397381025,0.00978627932780397,0.07603729858547094,0.002,0.95,1000,636,breath
logistic_regression,random_forest,model_name,auprc,0.5660525173005319,0.67173915225781,0.10568663495727815,0.0379045786131419,0.16997028237357667,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,brier,0.18681587104127045,0.17127329624858886,-0.01554257479268159,-0.0232749188385644,-0.007894847555849401,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,ece,0.05764174121215409,0.0852442894922673,0.027602548280113208,-0.004731181732461569,0.05397300488032871,0.09,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,auroc,0.785470760894107,0.5,-0.28547076089410695,-0.32448149902403856,-0.24489380243709882,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,auprc,0.6562693018535969,0.3238993710691824,-0.3323699307844145,-0.39833264789309086,-0.2734977250280909,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,brier,0.17306715229565353,0.21899312305862872,0.04592597076297519,0.03546781457600469,0.05633932297022817,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,ece,0.07963139757512051,0.002134143495228724,-0.07749725407989179,-0.10204227898006749,-0.03254173407094902,0.002,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,auroc,0.785470760894107,0.5205463987356063,-0.2649243621585007,-0.31805129163902396,-0.20941337534931165,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,auprc,0.6562693018535969,0.3332680120020846,-0.3230012898515123,-0.3901336522799122,-0.2618576623353488,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,brier,0.17306715229565353,0.21876228722934513,0.045695134933691595,0.03543819098031054,0.05600947556575597,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,ece,0.07963139757512051,0.0020840369066089104,-0.0775473606685116,-0.10182952847558836,-0.033005023696424426,0.002,0.95,1000,636,cough
logistic_regression,random_forest,model_name,auroc,0.785470760894107,0.8067396703544818,0.021268909460374852,-0.015135509798915127,0.05385083606484734,0.226,0.95,1000,636,cough
logistic_regression,random_forest,model_name,auprc,0.6562693018535969,0.7186381356332956,0.06236883377969871,-0.0026796426720585324,0.11851284489462177,0.06,0.95,1000,636,cough
logistic_regression,random_forest,model_name,brier,0.17306715229565353,0.16691042725774174,-0.006156725037911787,-0.01437108652267127,0.002308012125118995,0.158,0.95,1000,636,cough
logistic_regression,random_forest,model_name,ece,0.07963139757512051,0.09178982953594922,0.012158431960828706,-0.018594405438572992,0.03893789132559855,0.38,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,auroc,0.7479891623391285,0.5,-0.2479891623391285,-0.2717692821867989,-0.22035041921751053,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,auprc,0.6089307637120845,0.3238993710691824,-0.28503139264290217,-0.32235575993828625,-0.2466146989248519,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,brier,0.1836221158987184,0.2189931230586287,0.03537100715991029,0.028227755042658186,0.04213012308184975,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,ece,0.04579702448117399,0.0021341434952286686,-0.04366288098594532,-0.06442594018975813,-0.020422467848836546,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,auroc,0.7479891623391285,0.5074147663129375,-0.24057439602619102,-0.27766798270351356,-0.20506890016870447,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,auprc,0.6089307637120845,0.32724798402485195,-0.2816827796872326,-0.3222980268015522,-0.24294786527733228,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,brier,0.1836221158987184,0.21897728872678013,0.03535517282806172,0.028227346008528675,0.04212434306841182,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,ece,0.04579702448117399,0.002052223657604879,-0.04374480082356911,-0.06446209730359823,-0.02046454624085406,0.0,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,auroc,0.7479891623391285,0.7587645066606458,0.010775344321517277,-0.012949983890157698,0.032989102904882626,0.352,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,auprc,0.6089307637120845,0.6203900630527404,0.011459299340655815,-0.02660838306579391,0.05237057548588999,0.586,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,brier,0.1836221158987184,0.1783765634744322,-0.005245552424286204,-0.011491213047046216,0.0005953404056859475,0.08,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,ece,0.04579702448117399,0.044584751368530524,-0.0012122731126434638,-0.025264253455873912,0.015403802193811817,0.614,0.95,1000,1590,speech
