auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,calibration_method
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.21899312305862872,0.002134143495228724,0.6297842529063705,0.5,636.0,dummy_most_frequent,breath,platt
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.21899312305862872,0.002134143495228724,0.6297842529063705,0.5,636.0,dummy_most_frequent,cough,platt
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952286686,0.6297842529063704,0.5,1590.0,dummy_most_frequent,speech,platt
0.5205463987356063,0.3332680120020846,0.5,0.0,0.0,1.0,0.21876228722934513,0.0020840369066089104,0.6292535385160986,0.5,636.0,dummy_stratified,breath,platt
0.5205463987356063,0.3332680120020846,0.5,0.0,0.0,1.0,0.21876228722934513,0.0020840369066089104,0.6292535385160986,0.5,636.0,dummy_stratified,cough,platt
0.5074147663129375,0.32724798402485195,0.5,0.0,0.0,1.0,0.21897728872678016,0.002052223657604879,0.6297480164328568,0.5,1590.0,dummy_stratified,speech,platt
0.75505757507338,0.5660525173005319,0.5612892300745089,0.24899598393574296,0.15048543689320387,0.9720930232558139,0.18681587104127045,0.05764174121215412,0.5532411206425034,0.5,636.0,logistic_regression,breath,platt
0.785470760894107,0.6562693018535969,0.6825016933845112,0.5515151515151515,0.441747572815534,0.9232558139534883,0.17306715229565356,0.07963139757512054,0.52634515599909,0.5,636.0,logistic_regression,cough,platt
0.7479891623391285,0.6089307637120845,0.6397967938586588,0.481437125748503,0.39029126213592236,0.8893023255813953,0.1836221158987184,0.045797024481174,0.5476875104369165,0.5,1590.0,logistic_regression,speech,platt
0.798600135470761,0.67173915225781,0.6542334612779408,0.4935064935064935,0.36893203883495146,0.9395348837209302,0.1712732962485889,0.0852442894922673,0.522613927071822,0.5,636.0,random_forest,breath,platt
0.8067396703544818,0.7186381356332956,0.657518627229623,0.49498327759197325,0.3592233009708738,0.9558139534883721,0.16691042725774177,0.09178982953594923,0.5128138991163282,0.5,636.0,random_forest,cough,platt
0.7587645066606458,0.6203900630527404,0.6556920298035673,0.5030978934324659,0.3941747572815534,0.9172093023255814,0.1783765634744322,0.04458475136853054,0.5370879320982698,0.5,1590.0,random_forest,speech,platt
