metric,point,mean,ci_low,ci_high,confidence,n_bootstraps,n_samples,fusion_method
auroc,0.8762248814630841,0.8758039931201566,0.8290210501119747,0.9189980823707783,0.95,1000,318,quality_weighted_auprc
auprc,0.8314917191226096,0.8311474339889819,0.7665604911632983,0.8846722135180118,0.95,1000,318,quality_weighted_auprc
brier,0.18929478359408886,0.1891565084663751,0.17354408953248365,0.20413686565224945,0.95,1000,318,quality_weighted_auprc
ece,0.14897442469536282,0.15906216346883134,0.12474604142352193,0.1988825716373483,0.95,1000,318,quality_weighted_auprc
