auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,calibration_method
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.002134143495228724,0.6297842529063705,0.5,636.0,dummy_most_frequent,breath,platt
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.002134143495228724,0.6297842529063705,0.5,636.0,dummy_most_frequent,cough,platt
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.21899312305862875,0.0021341434952286686,0.6297842529063705,0.5,1590.0,dummy_most_frequent,speech,platt
0.47945360126439385,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491041,0.6300038918837314,0.5,636.0,dummy_stratified,breath,platt
0.47945360126439385,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491041,0.6300038918837314,0.5,636.0,dummy_stratified,cough,platt
0.5145947166403251,0.3306832753251511,0.5,0.0,0.0,1.0,0.21887695148289837,0.0020360550710732395,0.629519106966024,0.5,1590.0,dummy_stratified,speech,platt
0.755791375028223,0.5679411303828266,0.5625536238428539,0.2549800796812749,0.1553398058252427,0.9697674418604652,0.18670110400418294,0.07725749890928302,0.553545780325865,0.5,636.0,logistic_regression,breath,platt
0.788530142244299,0.6540729907904276,0.6581282456536465,0.5047318611987381,0.3883495145631068,0.9279069767441861,0.1741189742426964,0.10092057622638216,0.5288867087624943,0.5,636.0,logistic_regression,cough,platt
0.7486177466696772,0.6050202961726128,0.6455001128923008,0.49038461538461536,0.39611650485436894,0.8948837209302326,0.1839024260872298,0.053125888923069006,0.548481257086628,0.5,1590.0,logistic_regression,speech,platt
0.792526529690675,0.6641779270047647,0.6580266425829758,0.5031847133757962,0.38349514563106796,0.9325581395348838,0.1719574085654049,0.078956403584601,0.5239257132543288,0.5,636.0,random_forest,breath,platt
0.8080153533529013,0.7201970750489585,0.6574170241589523,0.49324324324324326,0.35436893203883496,0.9604651162790697,0.16712734514246724,0.10125393627346599,0.5132764990284708,0.5,636.0,random_forest,cough,platt
0.758459245879431,0.6214589773044573,0.6445473018740122,0.48180677540777916,0.37281553398058254,0.9162790697674419,0.178111497896291,0.04971521444848614,0.5364229513021929,0.5,1590.0,random_forest,speech,platt
