baseline_name,candidate_name,model_column,metric,baseline_value,candidate_value,difference,ci_low,ci_high,p_two_sided_bootstrap,confidence,n_bootstraps,n_matched,modality
logistic_regression,dummy_most_frequent,model_name,auroc,0.755791375028223,0.5,-0.255791375028223,-0.2925119293673617,-0.21857424885131052,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,auprc,0.5679411303828266,0.3238993710691824,-0.2440417593136442,-0.30731871541009387,-0.19005463756564672,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,brier,0.1867011040041829,0.2189931230586287,0.032292019054445786,0.024607598444529227,0.040727371661864444,0.0,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,ece,0.07725749890928303,0.002134143495228724,-0.07512335541405431,-0.10054257185046392,-0.028927294298161262,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,auroc,0.755791375028223,0.47945360126439385,-0.2763377737638292,-0.3309125504520033,-0.22261675324128735,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,auprc,0.5679411303828266,0.3156724058308153,-0.25226872455201127,-0.31958999552432776,-0.19287032042689745,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,brier,0.1867011040041829,0.2190891214414371,0.032388017437254196,0.024730760954132017,0.04088464863507421,0.0,0.95,1000,636,breath
logistic_regression,dummy_stratified,model_name,ece,0.07725749890928303,0.002057170176491041,-0.07520032873279199,-0.10054772599222495,-0.028798917198238908,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,auroc,0.755791375028223,0.792526529690675,0.03673515466245203,0.0020609272105513803,0.07224437792841093,0.038,0.95,1000,636,breath
logistic_regression,random_forest,model_name,auprc,0.5679411303828266,0.6641779270047647,0.09623679662193818,0.027018795357368723,0.16383357195389128,0.004,0.95,1000,636,breath
logistic_regression,random_forest,model_name,brier,0.1867011040041829,0.1719574085654049,-0.014743695438778015,-0.022865226520161208,-0.006508825175536459,0.0,0.95,1000,636,breath
logistic_regression,random_forest,model_name,ece,0.07725749890928303,0.078956403584601,0.0016989046753179693,-0.03184356123401979,0.03546228475775676,0.844,0.95,1000,636,breath
logistic_regression,dummy_most_frequent,model_name,auroc,0.788530142244299,0.5,-0.28853014224429896,-0.3311372295658361,-0.24844997470665695,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,auprc,0.6540729907904276,0.3238993710691824,-0.3301736197212452,-0.39624371889253296,-0.27413456064364083,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,brier,0.17411897424269637,0.2189931230586287,0.044874148815932324,0.034691609038662904,0.05556972282455903,0.0,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,ece,0.10092057622638216,0.002134143495228724,-0.09878643273115344,-0.12148229604846955,-0.04738120410135383,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,auroc,0.788530142244299,0.47945360126439385,-0.3090765409799051,-0.3640556617397213,-0.2571666434121766,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,auprc,0.6540729907904276,0.3156724058308153,-0.3384005849596123,-0.40720269445242596,-0.2806619766782695,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,brier,0.17411897424269637,0.2190891214414371,0.044970147198740734,0.034902829687303946,0.05559159799544072,0.0,0.95,1000,636,cough
logistic_regression,dummy_stratified,model_name,ece,0.10092057622638216,0.002057170176491041,-0.09886340604989112,-0.12130294201894845,-0.04747163581795764,0.0,0.95,1000,636,cough
logistic_regression,random_forest,model_name,auroc,0.788530142244299,0.8080153533529013,0.01948521110860235,-0.012901957744607229,0.053919750075958506,0.248,0.95,1000,636,cough
logistic_regression,random_forest,model_name,auprc,0.6540729907904276,0.7201970750489585,0.06612408425853089,0.006840182222874881,0.11786639421584755,0.018,0.95,1000,636,cough
logistic_regression,random_forest,model_name,brier,0.17411897424269637,0.16712734514246722,-0.0069916291002291575,-0.014840774180204101,0.0005703201270124426,0.08,0.95,1000,636,cough
logistic_regression,random_forest,model_name,ece,0.10092057622638216,0.10125393627346599,0.0003333600470838277,-0.025570876152157508,0.036129301685579665,0.738,0.95,1000,636,cough
logistic_regression,dummy_most_frequent,model_name,auroc,0.7486177466696772,0.5,-0.24861774666967718,-0.2725172340313904,-0.22365415570258035,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,auprc,0.6050202961726128,0.3238993710691824,-0.2811209251034304,-0.3178230532569431,-0.24569849747050262,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,brier,0.1839024260872298,0.21899312305862875,0.035090696971398966,0.028316607997407203,0.04182359998992923,0.0,0.95,1000,1590,speech
logistic_regression,dummy_most_frequent,model_name,ece,0.053125888923069006,0.0021341434952286686,-0.05099174542784034,-0.07083535491093822,-0.025298303485616784,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,auroc,0.7486177466696772,0.5145947166403251,-0.2340230300293521,-0.2679087170941624,-0.2000584723180933,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,auprc,0.6050202961726128,0.3306832753251511,-0.27433702084746164,-0.31324650682872307,-0.2386199569994073,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,brier,0.1839024260872298,0.21887695148289835,0.03497452539566856,0.028304650750970106,0.04148939723727324,0.0,0.95,1000,1590,speech
logistic_regression,dummy_stratified,model_name,ece,0.053125888923069006,0.0020360550710732395,-0.05108983385199577,-0.07068692196219833,-0.025512571581890246,0.0,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,auroc,0.7486177466696772,0.758459245879431,0.009841499209753857,-0.01258453933298215,0.034398208822739564,0.402,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,auprc,0.6050202961726128,0.6214589773044573,0.016438681131844546,-0.02292071691590081,0.05621681535199442,0.408,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,brier,0.1839024260872298,0.17811149789629105,-0.005790928190938738,-0.012157396562874285,0.0002547414421471238,0.064,0.95,1000,1590,speech
logistic_regression,random_forest,model_name,ece,0.053125888923069006,0.0497152144484861,-0.003410674474582903,-0.02561864059721799,0.014898651917093301,0.526,0.95,1000,1590,speech
