auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,cough
0.47945360126439385,0.3156724058308153,0.47945360126439374,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,cough
0.788530142244299,0.6540729907904276,0.7384511176337774,0.6465863453815262,0.7815533980582524,0.6953488372093023,0.1944444092762932,0.1622168622592745,0.5836842982946554,0.5,636.0,logistic_regression,cough
0.8080153533529013,0.7201970750489585,0.6598442086249717,0.4983164983164983,0.3592233009708738,0.9604651162790697,0.17063683553074133,0.1320543388382662,0.5221544735536328,0.5,636.0,random_forest,cough
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,breath
0.47945360126439385,0.3156724058308153,0.47945360126439374,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,breath
0.755791375028223,0.5679411303828266,0.6962858433054866,0.6019047619047619,0.7669902912621359,0.6255813953488372,0.20572211486280173,0.1463216868703089,0.5955901963060027,0.5,636.0,logistic_regression,breath
0.792526529690675,0.6641779270047647,0.6849288778505306,0.5558912386706949,0.44660194174757284,0.9232558139534883,0.1702820472885138,0.07465230763226516,0.5193471315572098,0.5,636.0,random_forest,breath
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,1590.0,dummy_most_frequent,speech
0.5145947166403251,0.3306832753251511,0.5145947166403251,0.3427458617332035,0.341747572815534,0.6874418604651162,0.42452830188679247,0.4245283018867924,5.865075812337534,0.5,1590.0,dummy_stratified,speech
0.7486177466696772,0.6050202961726128,0.6735019191691127,0.5775401069518716,0.7339805825242719,0.6130232558139534,0.20975519381446264,0.1617195908836497,0.6035009075934368,0.5,1590.0,logistic_regression,speech
0.758459245879431,0.6214589773044573,0.6354843079701964,0.4581151832460733,0.33980582524271846,0.9311627906976744,0.1811270792188131,0.0753667649412616,0.5440254652949209,0.5,1590.0,random_forest,speech
