auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,table_source,calibration_method,fusion_method
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,cough,ml_baseline_metrics,,
0.4794536012643938,0.3156724058308153,0.4794536012643937,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,cough,ml_baseline_metrics,,
0.788530142244299,0.6540729907904276,0.7384511176337774,0.6465863453815262,0.7815533980582524,0.6953488372093023,0.1944444092762932,0.1622168622592745,0.5836842982946554,0.5,636.0,logistic_regression,cough,ml_baseline_metrics,,
0.8080153533529013,0.7201970750489585,0.6598442086249717,0.4983164983164983,0.3592233009708738,0.9604651162790696,0.1706368355307413,0.1320543388382662,0.5221544735536328,0.5,636.0,random_forest,cough,ml_baseline_metrics,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,breath,ml_baseline_metrics,,
0.4794536012643938,0.3156724058308153,0.4794536012643937,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,breath,ml_baseline_metrics,,
0.755791375028223,0.5679411303828266,0.6962858433054866,0.6019047619047619,0.7669902912621359,0.6255813953488372,0.2057221148628017,0.1463216868703089,0.5955901963060027,0.5,636.0,logistic_regression,breath,ml_baseline_metrics,,
0.792526529690675,0.6641779270047647,0.6849288778505306,0.5558912386706949,0.4466019417475728,0.9232558139534884,0.1702820472885138,0.0746523076322651,0.5193471315572098,0.5,636.0,random_forest,breath,ml_baseline_metrics,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,1590.0,dummy_most_frequent,speech,ml_baseline_metrics,,
0.5145947166403251,0.3306832753251511,0.5145947166403251,0.3427458617332035,0.341747572815534,0.6874418604651162,0.4245283018867924,0.4245283018867924,5.865075812337534,0.5,1590.0,dummy_stratified,speech,ml_baseline_metrics,,
0.7486177466696772,0.6050202961726128,0.6735019191691127,0.5775401069518716,0.7339805825242719,0.6130232558139534,0.2097551938144626,0.1617195908836497,0.6035009075934368,0.5,1590.0,logistic_regression,speech,ml_baseline_metrics,,
0.758459245879431,0.6214589773044573,0.6354843079701964,0.4581151832460733,0.3398058252427184,0.9311627906976744,0.1811270792188131,0.0753667649412616,0.5440254652949209,0.5,1590.0,random_forest,speech,ml_baseline_metrics,,
0.7498532400090314,0.5586627620061636,0.6687852788439828,0.5775401069518716,0.7864077669902912,0.5511627906976744,0.2236653833401576,0.1968384565840132,0.6423709067245666,0.5,636.0,compact_cnn,cough,cnn_metrics,,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952287,0.6297842529063705,0.5,636.0,dummy_most_frequent,breath,calibration_metrics,platt,
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.0021341434952287,0.6297842529063705,0.5,636.0,dummy_most_frequent,cough,calibration_metrics,platt,
