metric,point,mean,ci_low,ci_high,confidence,n_bootstraps,n_samples,fusion_method
auroc,0.8787085120794762,0.8782709504577342,0.83056488262885,0.9212703318586808,0.95,1000,318,quality_weighted_auprc
auprc,0.8382303612878866,0.838025185333237,0.7752327491180251,0.8883970961163205,0.95,1000,318,quality_weighted_auprc
brier,0.18972524000329366,0.18958669664447975,0.1740191587249697,0.2048249597589222,0.95,1000,318,quality_weighted_auprc
ece,0.15677319978442783,0.16482366150910158,0.13008562024825504,0.20321731204440038,0.95,1000,318,quality_weighted_auprc
