audit_model,feature_group,n_features,importance_abs_sum,importance_abs_mean,importance_abs_max,importance_share,top_feature,top_coefficient,top_importance_abs
demographic_protocol_only,demographic,37,6.892276448030785,0.18627774183866985,0.6347018150223923,0.5911814738610438,country_India,0.6347018150223923,0.6347018150223923
demographic_protocol_only,recording_protocol,8,4.766201959651528,0.595775244956441,2.6478779271474098,0.40881852613895614,recording_year,2.6478779271474098,2.6478779271474098
full_safe_metadata,demographic,37,6.197522770659727,0.16750061542323588,0.5912154935234031,0.38031811416457795,country_India,0.5912154935234031,0.5912154935234031
full_safe_metadata,recording_protocol,8,4.146031630334027,0.5182539537917534,2.001122319141864,0.25442600039813584,recording_year,2.001122319141864,2.001122319141864
full_safe_metadata,symptom_or_label_proxy,10,3.725724042422185,0.3725724042422185,0.6614782157771634,0.22863334176355074,symptoms_json_cough,0.6614782157771634,0.6614782157771634
full_safe_metadata,comorbidity_proxy,8,2.2263502417269043,0.27829378021586304,0.6869838849960308,0.13662254367373544,comorbidities_json_others_preexist,0.6869838849960308,0.6869838849960308
symptoms_only,symptom_or_label_proxy,10,5.794983353853943,0.5794983353853943,0.8728683040493913,1.0,symptoms_json_cough,0.8728683040493913,0.8728683040493913
