evaluation_protocol,analysis_family,model_name,modality,feature_strategy,n_candidate_features,n_selected_features,selected_features,best_objective,best_validation_objective,particles,iterations
sota_swarm_internal_protocol,sota_swarm_feature_search,binary_pso_lightgbm,cough,binary_pso_validation_selected,256,64,mel_band_01_q75;mel_band_02_max;mel_band_64_std;mfcc_05_min;mel_band_64_iqr;mel_band_63_std;mel_band_01_max;mfcc_07_max;mel_band_63_q75;mel_band_63_iqr;mel_band_63_kurtosis;mel_band_63_max;mfcc_39_max;mel_band_62_q75;mfcc_07_std;mfcc_05_mean;mel_band_21_max;mel_band_03_q75;mfcc_10_mean;event_start_sec;mel_band_61_q75;mfcc_04_max;mel_band_62_max;mel_band_21_q75;mel_band_31_q75;mel_band_62_iqr;mfcc_05_q75;mel_band_60_skew;mfcc_09_max;mfcc_37_mean;mfcc_03_min;mfcc_09_q75;mfcc_37_max;mel_band_29_q75;mel_band_30_skew;mfcc_10_q75;mel_band_19_max;mfcc_07_mean;mel_band_61_max;delta2_mfcc_07_skew;mel_band_27_q75;mel_band_04_q75;mel_band_18_q75;mel_band_61_iqr;mel_band_25_q75;mfcc_05_std;mel_band_61_std;mel_band_26_q75;mel_band_62_mean;mel_band_62_kurtosis;chroma_08_skew;mfcc_37_q25;mel_band_64_mean;mfcc_39_q25;delta2_mfcc_03_skew;mel_global_q75;mel_band_02_skew;mfcc_20_q25;mel_band_23_max;mel_band_30_mean;mel_band_05_q75;mel_band_14_q75;mel_band_03_mean;mel_band_02_median,0.7659792521659827,0.7659792521659827,12,16
sota_swarm_internal_protocol,sota_swarm_feature_search,binary_pso_lightgbm,breath,binary_pso_validation_selected,256,64,mel_band_45_skew;mel_band_40_skew;mel_band_41_skew;mel_band_39_skew;mel_band_49_skew;mel_band_46_skew;mel_band_37_skew;rms_skew;mel_band_36_skew;mel_band_47_skew;mfcc_01_skew;mel_band_32_skew;mel_band_29_skew;mel_band_26_skew;mel_band_61_skew;mel_band_20_skew;mel_band_39_q75;mel_band_59_skew;mel_band_63_skew;mel_band_54_skew;mel_band_45_q75;mel_band_55_skew;mel_band_42_q75;mel_band_49_q75;mel_band_11_skew;mel_band_15_skew;mel_band_14_skew;mel_band_10_skew;mel_band_34_q75;mel_band_09_skew;mel_band_33_q75;mfcc_01_q75;mel_band_02_q75;mel_band_32_q75;mel_band_61_q75;rms_q75;mel_band_09_q75;mel_band_07_skew;mel_band_29_q75;mel_band_30_q75;mel_band_01_q75;mel_band_59_q75;delta_mfcc_30_kurtosis;mel_band_63_q75;mel_band_51_q75;mel_band_06_skew;mel_band_27_q75;mel_band_21_q75;mel_band_56_q75;delta_mfcc_36_kurtosis;mel_band_64_skew;mel_band_53_q75;delta2_mfcc_30_kurtosis;mel_band_26_q75;delta2_mfcc_21_kurtosis;delta_mfcc_40_kurtosis;delta2_mfcc_10_kurtosis;mel_band_22_q75;delta_mfcc_28_kurtosis;mel_band_25_q75;delta2_mfcc_24_kurtosis;mel_band_05_q75;delta_mfcc_27_kurtosis;delta2_mfcc_17_kurtosis,0.7311753305973554,0.7311753305973554,12,16
sota_swarm_internal_protocol,sota_swarm_feature_search,binary_pso_lightgbm,speech,binary_pso_validation_selected,256,64,mel_band_02_q75;mfcc_17_skew;mel_band_05_q75;mel_band_01_q75;mel_band_05_mean;mfcc_15_skew;mel_band_03_q75;mel_band_41_q75;mfcc_27_kurtosis;mfcc_39_kurtosis;mel_band_39_q75;mel_global_kurtosis;rms_skew;mel_band_01_mean;delta2_mfcc_31_kurtosis;mel_global_q75;delta2_mfcc_22_kurtosis;mfcc_07_skew;spectral_flatness_skew;mel_band_49_q75;mel_band_43_q75;tempogram_global_skew;mel_band_01_q25;delta2_mfcc_36_kurtosis;mfcc_36_kurtosis;mel_band_45_q75;delta_mfcc_34_kurtosis;mfcc_40_kurtosis;delta_mfcc_33_kurtosis;delta2_mfcc_25_kurtosis;spectral_contrast_07_skew;mel_band_62_q75;mfcc_24_kurtosis;delta2_mfcc_19_kurtosis;delta_mfcc_35_kurtosis;delta_mfcc_29_kurtosis;mel_band_08_q75;delta_mfcc_23_kurtosis;mfcc_05_kurtosis;mel_band_60_q75;mel_band_61_skew;mel_band_15_skew;delta_mfcc_37_kurtosis;mel_band_03_q25;mel_band_09_q75;delta_mfcc_24_kurtosis;mel_band_02_min;mel_band_58_q75;mfcc_03_kurtosis;mfcc_22_kurtosis;mel_band_50_q75;mel_band_42_mean;mel_band_41_median;delta_mfcc_28_kurtosis;mel_band_39_median;mel_band_62_skew;mel_band_36_q75;mel_band_03_min;mel_band_41_skew;mel_band_01_skew;mfcc_39_q25;mfcc_18_kurtosis;mel_band_46_skew;mel_band_05_min,0.7318401732786137,0.7318401732786137,12,16
