auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,analysis,subgroup_column,subgroup_value,n_participants,positive_prevalence
0.531839728578219,0.03946224706546038,0.5021763020526708,0.05148514851485148,0.0912280701754386,0.913124533929903,0.09606135059312122,0.18571620436207859,0.33084015251708954,0.5,8331.0,compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,performance_equity,age_band,unknown,8331,0.03420957868203097
0.531839728578219,0.03946224706546038,0.5021763020526708,0.05148514851485148,0.0912280701754386,0.913124533929903,0.09606135059312122,0.18571620436207859,0.33084015251708954,0.5,8331.0,compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,performance_equity,gender,nan,8331,0.03420957868203097
0.531839728578219,0.03946224706546038,0.5021763020526708,0.05148514851485148,0.0912280701754386,0.913124533929903,0.09606135059312122,0.18571620436207859,0.33084015251708954,0.5,8331.0,compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,performance_equity,country,nan,8331,0.03420957868203097
0.531839728578219,0.03946224706546038,0.5021763020526708,0.05148514851485148,0.0912280701754386,0.913124533929903,0.09606135059312122,0.18571620436207859,0.33084015251708954,0.5,8331.0,compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,performance_equity,recording_year_month,unknown,8331,0.03420957868203097
0.874633431085044,0.7188452389533533,0.8123167155425219,0.6923076923076923,0.8181818181818182,0.8064516129032258,0.13440569482884954,0.10369633544544607,0.41085204670934694,0.5,84.0,compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,performance_equity,age_band,31-45,84,0.2619047619047619
0.7758620689655172,0.5980377446231437,0.6637931034482758,0.5625,0.5,0.8275862068965517,0.18744349038150282,0.09730686906558288,0.543831271049826,0.5,47.0,compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,performance_equity,age_band,46-60,47,0.3829787234042553
0.7138392857142858,0.5284481759210298,0.6446428571428572,0.47368421052631576,0.45,0.8392857142857143,0.1775299214874493,0.11434955306012949,0.5449125807239298,0.5,152.0,compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,performance_equity,age_band,<=30,152,0.2631578947368421
0.8154851684263449,0.7664329481850135,0.7714932126696833,0.7246376811594203,0.6410256410256411,0.9019607843137255,0.16972189798179274,0.12199471506618095,0.5231496992057536,0.5,90.0,compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,performance_equity,gender,female,90,0.43333333333333335
0.7737919132149901,0.545197133129753,0.6794871794871795,0.5178571428571429,0.5576923076923077,0.8012820512820513,0.16486030846103794,0.0782605188448006,0.4962083746004263,0.5,208.0,compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,performance_equity,gender,male,208,0.25
0.7767558528428092,0.6406203341897411,0.7015946010511228,0.6,0.5934065934065934,0.8097826086956522,0.1771262768749989,0.067034249400689,0.5328635694161271,0.5,275.0,compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,catboost_smote_f80,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,performance_equity,country,India,275,0.33090909090909093
