table_source,evaluation_protocol,analysis_family,model_name,modality,modality_combination,feature_strategy,base_feature_set,ablation_name,removed_features,fusion_method,dataset,split,audit_model,control_method,prediction_source,calibration_method,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
external_model_grid_metrics,,,xgboost,cough,,all,,,,,,,,,,platt,8331,0.508,0.037,0.505,0.344,0.667,0.064,0.106,0.231,0.369
external_model_grid_metrics,,,xgboost,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.500,0.039,0.517,0.291,0.742,0.068,0.119,0.264,0.406
external_model_grid_metrics,,,xgboost,cough,,top_stable_50,,,,,,,,,,platt,8331,0.484,0.036,0.473,0.635,0.310,0.060,0.120,0.286,0.419
external_model_grid_metrics,,,xgboost,cough,,top_stable_80,,,,,,,,,,platt,8331,0.480,0.042,0.485,0.382,0.587,0.059,0.113,0.264,0.397
external_model_grid_metrics,,,xgboost,cough,,top_stable_120,,,,,,,,,,platt,8331,0.484,0.042,0.497,0.516,0.478,0.063,0.116,0.268,0.403
external_model_grid_metrics,,,lightgbm,cough,,all,,,,,,,,,,platt,8331,0.518,0.039,0.499,0.228,0.770,0.059,0.099,0.215,0.352
external_model_grid_metrics,,,lightgbm,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.516,0.038,0.520,0.351,0.689,0.069,0.116,0.256,0.397
external_model_grid_metrics,,,lightgbm,cough,,top_stable_50,,,,,,,,,,platt,8331,0.498,0.040,0.507,0.544,0.470,0.066,0.119,0.280,0.414
external_model_grid_metrics,,,lightgbm,cough,,top_stable_80,,,,,,,,,,platt,8331,0.495,0.041,0.488,0.337,0.639,0.058,0.114,0.263,0.397
external_model_grid_metrics,,,lightgbm,cough,,top_stable_120,,,,,,,,,,platt,8331,0.496,0.042,0.504,0.453,0.555,0.065,0.115,0.266,0.401
external_model_grid_metrics,,,catboost,cough,,all,,,,,,,,,,platt,8331,0.526,0.039,0.517,0.260,0.775,0.068,0.104,0.231,0.365
external_model_grid_metrics,,,catboost,cough,,drop_high_shift,,,,,,,,,,platt,8331,0.514,0.041,0.525,0.351,0.699,0.071,0.119,0.263,0.403
external_model_grid_metrics,,,catboost,cough,,top_stable_50,,,,,,,,,,platt,8331,0.486,0.037,0.505,0.333,0.676,0.064,0.121,0.286,0.420
external_model_grid_metrics,,,catboost,cough,,top_stable_80,,,,,,,,,,platt,8331,0.488,0.042,0.485,0.453,0.518,0.060,0.116,0.268,0.403
external_model_grid_metrics,,,catboost,cough,,top_stable_120,,,,,,,,,,platt,8331,0.488,0.044,0.480,0.481,0.478,0.059,0.117,0.271,0.406
coughvid_internal_metrics,,,logistic_regression,cough,,all,,,,,coughvid,,,,,platt,1667,0.714,0.138,0.617,0.439,0.796,0.122,0.032,0.006,0.139
coughvid_internal_metrics,,,random_forest,cough,,all,,,,,coughvid,,,,,platt,1667,0.767,0.120,0.715,0.649,0.781,0.166,0.033,0.000,0.148
coughvid_internal_metrics,,,xgboost,cough,,all,,,,,coughvid,,,,,platt,1667,0.754,0.138,0.686,0.667,0.704,0.133,0.032,0.003,0.139
coughvid_internal_metrics,,,lightgbm,cough,,all,,,,,coughvid,,,,,platt,1667,0.781,0.178,0.698,0.561,0.834,0.180,0.033,0.000,0.147
