prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,threshold_probability,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,prevalence,n_samples,n_positive,n_negative
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.35,-0.05733913188000332,-0.48583141741226005,0.0,0.4284922855322567,-0.05733913188000332,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.4,-0.05885647981434803,-0.6096507021966151,0.0,0.550794222382267,-0.05885647981434803,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.45,-0.06160997806658591,-0.755982584214489,0.0,0.6943726061479032,-0.06160997806658591,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,lightgbm_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.5,-0.06289761133117272,-0.931580842635938,0.0,0.8686832313047652,-0.06289761133117272,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.05,-0.016469874722817128,-0.016621496124177924,0.0,0.00015162140136079638,-0.016469874722817128,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.1,-0.06851251683804799,-0.0731004681310767,0.0,0.004587951293028719,-0.06851251683804799,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.15,-0.10896933494319586,-0.13622402507996356,0.0,0.027254690136767706,-0.10896933494319586,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.2,-0.12990637378465972,-0.20723802664746127,0.0,0.07733165286280155,-0.12990637378465972,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.25,-0.13335734005521543,-0.28772056175729205,0.0,0.15436322170207661,-0.13335734005521543,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.3,-0.12015364302004561,-0.37970060188281296,0.0,0.25954695886276735,-0.12015364302004561,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.35,-0.09597148740108767,-0.48583141741226005,0.0,0.38985993001117236,-0.09597148740108767,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.4,-0.06445804825351098,-0.6096507021966151,0.0,0.5451926539431041,-0.06445804825351098,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.45,-0.037090385307886206,-0.755982584214489,0.0,0.7188921989066028,-0.037090385307886206,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,svc_rbf_f60,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.5,-0.019445444724522865,-0.931580842635938,0.0,0.9121353979114151,-0.019445444724522865,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.05,-0.013216332151949919,-0.016621496124177924,0.0,0.0034051639722280057,-0.013216332151949919,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.1,-0.04952053241574307,-0.0731004681310767,0.0,0.023579935715333636,-0.04952053241574307,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.15,-0.07361590657148709,-0.13622402507996356,0.0,0.06260811850847647,-0.07361590657148709,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.2,-0.08873484575681191,-0.20723802664746127,0.0,0.11850318089064936,-0.08873484575681191,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.25,-0.0967070779818349,-0.28772056175729205,0.0,0.19101348377545715,-0.0967070779818349,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.3,-0.09991940600511,-0.37970060188281296,0.0,0.27978119587770295,-0.09991940600511,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.35,-0.10029269733987053,-0.48583141741226005,0.0,0.38553872007238954,-0.10029269733987053,0.03420957868203097,8331,285,8046
compare_is10_external_transfer_predictions,coswara_to_coughvid_compare_is10_external,compare_is10_external_transfer,xgboost_smote_f80,cough,cough,,,compare_is10_top800_lightgbm,800.0,external_test,external_test,0.4,-0.09354619293402153,-0.6096507021966151,0.0,0.5161045092625935,-0.09354619293402153,0.03420957868203097,8331,285,8046
