auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,subgroup,source_column,level,n_participants,audit_model,model_name,feature_strategy,split
0.9117547454476616,0.7734046445237941,0.820633779101956,0.7603227337446606,0.8640776699029126,0.7771898883009994,0.1250457502128043,0.11673113543385333,0.4011809705792432,0.4438560962703411,2628.0,country,country,India,292,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9640315646548416,0.9416809361125466,0.8888261045758349,0.8557588805166846,0.8576051779935275,0.9200470311581422,0.07853940263059637,0.06339383355402191,0.25136192859740436,0.5710383807240185,2628.0,country,country,India,292,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9311655622335234,0.9033304312083001,0.9095649047105359,0.8803827751196173,0.8932038834951457,0.9259259259259259,0.0770638918168942,0.08864948291797844,0.28428533057213556,0.3009890422692231,2628.0,country,country,India,292,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.94274302313518,0.5480861640605306,0.6576719576719576,0.41846153846153844,0.35978835978835977,0.9555555555555556,0.06785467873794016,0.08423304222360094,0.21705193891178914,0.4438560962703411,1719.0,recording_year,recording_year,2020,191,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.969429747207525,0.7908876574919848,0.6954715219421101,0.5494505494505495,0.3968253968253968,0.9941176470588236,0.04794530279259466,0.05193739646887768,0.15893578730611976,0.5710383807240185,1719.0,recording_year,recording_year,2020,191,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.8609243697478991,0.6555605577484882,0.8544817927170868,0.6956521739130435,0.7619047619047619,0.9470588235294117,0.06546160126346694,0.13343360587597927,0.26345369178345907,0.3009890422692231,1719.0,recording_year,recording_year,2020,191,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.8076867717390592,0.7547778543143082,0.5951539775069187,0.7701441899915182,0.9891067538126361,0.2012012012012012,0.21556718543964923,0.19649102777705696,0.775537950421167,0.4438560962703411,792.0,recording_year,recording_year,2021,88,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
0.9440159113361728,0.9524913361504225,0.8617735382441265,0.9009193054136875,0.9607843137254902,0.7627627627627628,0.1184417187132085,0.14600046471825323,0.3992288462386666,0.5710383807240185,792.0,recording_year,recording_year,2021,88,full_safe_metadata,metadata_confounding_logistic_regression,full_safe_metadata,test
0.9446210916799151,0.9557976568897036,0.9067302596714362,0.9215686274509803,0.9215686274509803,0.8918918918918919,0.08297676702808804,0.06073263075487882,0.27228938027067323,0.3009890422692231,792.0,recording_year,recording_year,2021,88,symptoms_only,metadata_confounding_logistic_regression,symptoms_only,test
0.3739545997610514,0.7783443084200758,0.5,0.8857142857142857,1.0,0.0,0.17764106496051213,0.1729642492028456,0.6333780331287516,0.4438560962703411,351.0,recording_year,recording_year,2022,39,demographic_protocol_only,metadata_confounding_logistic_regression,demographic_protocol_only,test
