auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,metric_split,threshold_source,skipped,n_features,n_participants,n_ensemble_models,ensemble_members,modality_combination,fusion_method,source_run,feature_strategy,n_candidate_features,n_selected_features,selected_features,gated_stack_source_key,validation_rank,validation_floor,selected,reject_reason,has_validation_predictions,has_test_predictions,has_predictions,available_validation_rank
0.8411869895123484,0.7933318767668776,0.7945241892610313,0.7192118226600985,0.7373737373737373,0.8516746411483254,0.142661189672928,0.094778638013008,0.4580853057271832,0.3623932372850136,308.0,clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,validation,validation_balanced_accuracy,False,,308.0,,,breath+speech,validation_weighted_auprc,strong,,,,,strong||clean_internal_protocol||strong_multimodal_fusion||strong_baseline_selected_fusion||multimodal||||breath+speech||validation_weighted_auprc,11,0.8213430290397461,True,,True,True,True,11.0
0.8400835275835276,0.8020591683539654,0.7818813131313131,0.7126436781609196,0.6262626262626263,0.9375,0.14485285217445,0.1025897333129978,0.464100360312039,0.4440337719242884,307.0,clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,validation,validation_balanced_accuracy,False,,307.0,,,cough+breath+speech,uniform_mean,strong,,,,,strong||clean_internal_protocol||strong_multimodal_fusion||strong_baseline_selected_fusion||multimodal||||cough+breath+speech||uniform_mean,12,0.8213430290397461,True,,True,True,True,12.0
0.8376588855057754,0.7883289754553136,0.7953216374269005,0.7169811320754716,0.7676767676767676,0.8229665071770335,0.1439738957174616,0.0988011152733506,0.4612609171099028,0.3494606256133722,308.0,clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,validation,validation_balanced_accuracy,False,,308.0,,,breath+speech,uniform_mean,strong,,,,,strong||clean_internal_protocol||strong_multimodal_fusion||strong_baseline_selected_fusion||multimodal||||breath+speech||uniform_mean,13,0.8213430290397461,True,,True,True,True,13.0
0.8340405469118339,0.777198162178877,0.7877652050919377,0.7115384615384616,0.7326732673267327,0.8428571428571429,0.1588628450178035,0.1354946432163094,0.4974299123098268,0.3858913889781727,311.0,clean_internal_protocol,strong_audio_modality,top_5_validation_ensemble,speech,validation,validation_balanced_accuracy,False,,311.0,5.0,"lightgbm_smote_f80,catboost_smote_f80,xgboost_smote_f80,svc_rbf_f60,random_forest_smote_f80",,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||top_5_validation_ensemble||speech||||||,14,0.8213430290397461,True,,True,True,True,14.0
0.8297397047397046,0.739521712140347,0.771780303030303,0.6976744186046512,0.6060606060606061,0.9375,0.1486780143218468,0.0906901784903926,0.4769120156783138,0.6403603831425232,307.0,clean_internal_protocol,strong_feature_level_fusion,optuna_validation_search,multimodal,validation,validation_balanced_accuracy,False,6531.0,307.0,,,cough+breath+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||optuna_validation_search||multimodal||||cough+breath+speech||,15,0.8213430290397461,True,,True,True,True,15.0
0.8294672324375295,0.7706444794942112,0.7828147100424327,0.7053140096618358,0.7227722772277227,0.8428571428571429,0.15738638011308,0.1146857254969286,0.4935172843359416,0.4158615076305385,311.0,clean_internal_protocol,strong_audio_modality,catboost_smote_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||catboost_smote_f80||speech||||||,16,0.8213430290397461,True,,True,True,True,16.0
0.8261197548326261,0.7649663027414464,0.7828147100424327,0.7053140096618358,0.7227722772277227,0.8428571428571429,0.1620221429203986,0.1347986665671134,0.5047861695280688,0.4383454620838165,311.0,clean_internal_protocol,strong_audio_modality,xgboost_smote_f80,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||xgboost_smote_f80||speech||||||,17,0.8213430290397461,False,outside_top_k,True,True,True,17.0
0.8223506561182434,0.6975500563304736,0.769316405324743,0.6910994764397905,0.6534653465346535,0.8851674641148325,0.154207116579536,0.0788268000809541,0.477805375497957,0.4014459993333479,310.0,clean_internal_protocol,strong_feature_level_fusion,svc_rbf_f60,multimodal,validation,validation_balanced_accuracy,False,4354.0,310.0,,,cough+speech,,strong,,,,,strong||clean_internal_protocol||strong_feature_level_fusion||svc_rbf_f60||multimodal||||cough+speech||,18,0.8213430290397461,False,outside_top_k,True,True,True,18.0
0.8195662423385197,0.7453843398794584,0.7624469589816125,0.6804123711340206,0.6534653465346535,0.8714285714285714,0.1769742670096347,0.123470483777887,0.5349069208736759,0.3568587006765897,311.0,clean_internal_protocol,strong_audio_modality,svc_rbf_f60,speech,validation,validation_balanced_accuracy,False,2177.0,311.0,,,,,strong,,,,,strong||clean_internal_protocol||strong_audio_modality||svc_rbf_f60||speech||||||,19,0.8213430290397461,False,below_validation_gate,True,True,True,19.0
0.8170648795648796,0.7768888857333784,0.7665112665112666,0.6834170854271356,0.6868686868686869,0.8461538461538461,0.165770412886063,0.1619637953264424,0.5063868540003738,0.5290908906974142,307.0,clean_internal_protocol,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,validation,validation_balanced_accuracy,False,,307.0,,,cough+breath,stacked_logistic_validation,strong,,,,,strong||clean_internal_protocol||strong_multimodal_fusion||strong_baseline_selected_fusion||multimodal||||cough+breath||stacked_logistic_validation,20,0.8213430290397461,False,below_validation_gate,True,True,True,20.0
