feature,before_smd,after_smd,before_abs_smd,after_abs_smd
recording_year,1.3838362555266592,0.3815256753668675,1.3838362555266592,0.3815256753668675
country_India,0.5245305283129619,0.37597282954488753,0.5245305283129619,0.37597282954488753
gender_female,0.4209212450791537,0.17662090438749023,0.4209212450791537,0.17662090438749023
gender_male,-0.4097492060027382,-0.17101729173220528,0.4097492060027382,0.17101729173220528
age,0.3857692454848073,0.3130734713944775,0.3857692454848073,0.3130734713944775
quality_flag_mostly_silence,0.3728611228882024,0.1920654620230608,0.3728611228882024,0.1920654620230608
duration_sec,-0.36845303928078027,-0.09105343345872789,0.36845303928078027,0.09105343345872789
sample_rate_original_44100.0,-0.3266364398609898,-0.05665944878366486,0.3266364398609898,0.05665944878366486
quality_flag_ok,-0.3158364832913406,-0.14136120890196396,0.3158364832913406,0.14136120890196396
country_United States,-0.295598783449288,-0.21657961205304277,0.295598783449288,0.21657961205304277
sample_rate_original_48000.0,0.2938833503005207,0.044952787296775924,0.2938833503005207,0.044952787296775924
recording_month,0.24403655799819787,0.17268998775551622,0.24403655799819787,0.17268998775551622
sample_rate_original_16000.0,0.14002800840280097,0.11739704697250136,0.14002800840280097,0.11739704697250136
country_Canada,-0.1370377419655063,-0.10102440103220132,0.1370377419655063,0.10102440103220132
sample_rate_original_unknown,-0.1370377419655063,-0.10084365052345223,0.1370377419655063,0.10084365052345223
country_Hungary,-0.09667364890456637,-0.07138107979682293,0.09667364890456637,0.07138107979682293
country_Italy,-0.09667364890456637,-0.07121675725729495,0.09667364890456637,0.07121675725729495
country_Mexico,-0.09667364890456637,-0.0713284660761058,0.09667364890456637,0.0713284660761058
country_Pakistan,-0.09667364890456637,-0.0717394649603855,0.09667364890456637,0.0717394649603855
country_Philippines,-0.09667364890456637,-0.07121675725729495,0.09667364890456637,0.07121675725729495
country_China,-0.09667364890456635,-0.07121675725729495,0.09667364890456635,0.07121675725729495
country_Finland,-0.09667364890456635,-0.07121675725729495,0.09667364890456635,0.07121675725729495
country_Ireland,-0.09667364890456635,-0.07121675725729495,0.09667364890456635,0.07121675725729495
country_Netherlands The,-0.09667364890456635,-0.07121675725729495,0.09667364890456635,0.07121675725729495
country_Norway,-0.09667364890456635,-0.07121675725729495,0.09667364890456635,0.07121675725729495
country_Saudi Arabia,-0.09667364890456635,-0.07121675725729495,0.09667364890456635,0.07121675725729495
country_France,-0.09667364890456634,-0.07145229894732452,0.09667364890456634,0.07145229894732452
country_Indonesia,-0.09667364890456634,-0.07121675725729494,0.09667364890456634,0.07121675725729494
country_Malaysia,-0.09667364890456634,-0.0712629760201776,0.09667364890456634,0.0712629760201776
country_Oman,-0.09667364890456634,-0.07121675725729495,0.09667364890456634,0.07121675725729495
gender_other,-0.09667364890456634,-0.07145229894732452,0.09667364890456634,0.07145229894732452
quality_flag_short,-0.08266486052586378,-0.08491022665972274,0.08266486052586378,0.08491022665972274
quality_flag_corrupt,0.005952007685279599,0.008297029370505886,0.005952007685279599,0.008297029370505886
