evaluation_protocol,analysis_family,model_name,modality,base_feature_set,audit_model,ablation_name,removed_features,skipped,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,test_positive_prevalence,auprc_lift_over_prevalence,train_rows,validation_rows,test_rows,n_features,skip_reason
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_full,demographic_protocol_full,none,False,0.32628003051633053,0.7130388164067002,0.38108838089405517,0.38405627198124265,0.2668621700879765,0.49531459170013387,0.6667243186664905,0.6526054289506347,4.682022023359273,0.03714808284843797,3816.0,0.8042452830188679,-0.09120646661216769,11410.0,3798.0,3816.0,42.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_year,demographic_protocol_no_recording_year,recording_year,False,0.32628003051633053,0.7130388164067002,0.38108838089405517,0.38405627198124265,0.2668621700879765,0.49531459170013387,0.6667243186664905,0.6526054289506347,4.682022023359273,0.03714808284843797,3816.0,0.8042452830188679,-0.09120646661216769,11410.0,3798.0,3816.0,42.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_month,demographic_protocol_no_recording_month,recording_month,False,0.5036679791829423,0.7724884395899765,0.5501321022113871,0.8338426894000321,0.844574780058651,0.2556894243641232,0.2805207677414762,0.34307432343676847,0.8722189248293581,0.36837947581775937,3816.0,0.8042452830188679,-0.0317568434288914,11410.0,3798.0,3816.0,41.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,demographic_protocol_only,demographic_protocol_no_recording_year_month,demographic_protocol_no_recording_year_month,recording_year;recording_month,False,0.5036679791829423,0.7724884395899765,0.5501321022113871,0.8338426894000321,0.844574780058651,0.2556894243641232,0.2805207677414762,0.34307432343676847,0.8722189248293581,0.36837947581775937,3816.0,0.8042452830188679,-0.0317568434288914,11410.0,3798.0,3816.0,41.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_year_only,recording_year_only,recording_month,True,,,,,,,,,,,,,,11410.0,3798.0,3816.0,,Ablation recording_year_only selected no train-varying columns
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_month_only,recording_month_only,recording_year,False,0.31327067801999786,0.761670427348952,0.3638130233544147,0.38493723849372385,0.2697947214076246,0.4578313253012048,0.6725118859859738,0.6589221261858802,4.105026752945174,0.09630449240195423,3816.0,0.8042452830188679,-0.04257485566991592,11410.0,3798.0,3816.0,1.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,recording_date_only,recording_year_month_only,recording_year_month_only,none,False,0.31327067801999786,0.761670427348952,0.3638130233544147,0.38493723849372385,0.2697947214076246,0.4578313253012048,0.6725118859859738,0.6589221261858802,4.105026752945174,0.09630449240195423,3816.0,0.8042452830188679,-0.04257485566991592,11410.0,3798.0,3816.0,1.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_full,full_safe_metadata_full,none,False,0.5313560094619817,0.8366592051181282,0.49206209000223766,0.6238823763163124,0.5115672857608341,0.4725568942436412,0.5424435044174082,0.5461243021119229,3.284562689437599,0.0647257219627114,3816.0,0.8042452830188679,0.032413922099260306,11410.0,3798.0,3816.0,58.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_year,full_safe_metadata_no_recording_year,recording_year,False,0.5313560094619817,0.8366592051181282,0.49206209000223766,0.6238823763163124,0.5115672857608341,0.4725568942436412,0.5424435044174082,0.5461243021119229,3.284562689437599,0.0647257219627114,3816.0,0.8042452830188679,0.032413922099260306,11410.0,3798.0,3816.0,58.0,
temporal_early_to_late,metadata_temporal_ablation,metadata_confounding_logistic_regression,metadata,full_safe_metadata,full_safe_metadata_no_recording_month,full_safe_metadata_no_recording_month,recording_month,False,0.7787753599387232,0.9346816950694226,0.7230073765246715,0.8194369732831271,0.7445421961550994,0.7014725568942436,0.20105373901839468,0.17723883872192406,0.9208621678244296,0.5488069315866325,3816.0,0.8042452830188679,0.13043641205055467,11410.0,3798.0,3816.0,57.0,
