table_source,model_name,modality,feature_strategy,fusion_method,dataset,calibration_method,split,threshold,sensitivity,specificity,precision,npv,f1,balanced_accuracy,tp,fp,tn,fn,n_samples,n_positive,n_negative,operating_constraint,target_specificity,target_sensitivity
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0339266780743587,0.8070175438596491,0.5590062111801242,0.06084656084656084,0.9879253567508233,0.11316113161131612,0.6830118775198866,46.0,710.0,900.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,random_forest,cough,all,,coughvid,platt,test,0.0337977686806733,0.9122807017543859,0.5043478260869565,0.0611764705882353,0.9938800489596084,0.11466372657111357,0.7083142639206712,52.0,798.0,812.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0352414168500154,0.5789473684210527,0.8062111801242235,0.09565217391304348,0.9818456883509834,0.16417910447761194,0.6925792742726381,33.0,312.0,1298.0,24.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0523858777680947,0.40350877192982454,0.9341614906832298,0.17829457364341086,0.9778933680104032,0.24731182795698922,0.6688351313065272,23.0,106.0,1504.0,34.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0606289181462656,0.3333333333333333,0.9509316770186336,0.19387755102040816,0.975780752071383,0.24516129032258058,0.6421325051759834,19.0,79.0,1531.0,38.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0258391193945533,0.8070175438596491,0.4403726708074534,0.048574445617740235,0.9847222222222223,0.09163346613545816,0.6236951073335513,46.0,901.0,709.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_beats_predictions,xgboost,cough,all,,coughvid,platt,test,0.0249081797342971,0.9122807017543859,0.32298136645962733,0.04553415061295972,0.9904761904761905,0.08673894912427023,0.6176310341070066,52.0,1090.0,520.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test,0.035181930412288,0.49122807017543857,0.8186335403726708,0.0875,0.9784706755753526,0.14854111405835543,0.6549308052740547,28.0,292.0,1318.0,29.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test,0.037947965479099,0.3333333333333333,0.9031055900621118,0.10857142857142857,0.9745308310991957,0.16379310344827586,0.6182194616977226,19.0,156.0,1454.0,38.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test,0.0477835732536695,0.19298245614035087,0.9670807453416149,0.171875,0.9713038053649408,0.18181818181818182,0.5800316007409829,11.0,53.0,1557.0,46.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test,0.0319024422740344,0.8070175438596491,0.4645962732919255,0.05066079295154185,0.9855072463768116,0.09533678756476684,0.6358069085757873,46.0,862.0,748.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_opensmile_egemaps_predictions,catboost,cough,all,,coughvid,platt,test,0.0312565987655753,0.9122807017543859,0.16211180124223604,0.037116345467523196,0.981203007518797,0.07133058984910837,0.537196251498311,52.0,1349.0,261.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0337725125057131,0.5614035087719298,0.8099378881987578,0.09467455621301775,0.9811888638073739,0.1620253164556962,0.6856706984853438,32.0,306.0,1304.0,25.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0340780109654096,0.3508771929824561,0.9006211180124224,0.1111111111111111,0.9751176866173503,0.16877637130801687,0.6257491554974393,20.0,160.0,1450.0,37.0,1667.0,57.0,1610.0,specificity>=0.900,0.9,
coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0348848270784251,0.2631578947368421,0.9540372670807453,0.16853932584269662,0.973384030418251,0.2054794520547945,0.6085975809087937,15.0,74.0,1536.0,42.0,1667.0,57.0,1610.0,specificity>=0.950,0.95,
coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0336021612457506,0.8070175438596491,0.46024844720496894,0.05027322404371585,0.9853723404255319,0.09465020576131687,0.633632995532309,46.0,869.0,741.0,11.0,1667.0,57.0,1610.0,sensitivity>=0.800,,0.8
coughvid_internal_opensmile_egemaps_predictions,lightgbm,cough,all,,coughvid,platt,test,0.0335929761367312,0.9122807017543859,0.3596273291925466,0.04801477377654663,0.9914383561643836,0.0912280701754386,0.6359540154734662,52.0,1031.0,579.0,5.0,1667.0,57.0,1610.0,sensitivity>=0.900,,0.9
coughvid_internal_opensmile_egemaps_predictions,logistic_regression,cough,all,,coughvid,platt,test,0.0459224089371741,0.5789473684210527,0.8111801242236025,0.09792284866468842,0.9819548872180451,0.16751269035532995,0.6950637463223276,33.0,304.0,1306.0,24.0,1667.0,57.0,1610.0,specificity>=0.800,0.8,
