representation,modality,feature,coefficient,importance_abs,direction
beats,cough,beats_official_dim_0057,-0.05556928043817043,0.05556928043817043,source_domain
beats,cough,beats_official_dim_0627,-0.05502580492992115,0.05502580492992115,source_domain
beats,cough,beats_official_dim_0162,-0.05501228007029939,0.05501228007029939,source_domain
beats,cough,beats_official_dim_0128,0.054553689387797435,0.054553689387797435,external_domain
beats,cough,beats_official_dim_0241,-0.05439009658769652,0.05439009658769652,source_domain
beats,cough,beats_official_dim_0477,-0.05306827882974199,0.05306827882974199,source_domain
beats,cough,beats_official_dim_0649,-0.052382295822943716,0.052382295822943716,source_domain
beats,cough,beats_official_dim_0648,0.052048271435054326,0.052048271435054326,external_domain
beats,cough,beats_official_dim_0254,-0.05125495795529232,0.05125495795529232,source_domain
beats,cough,beats_official_dim_0095,-0.050815533160529704,0.050815533160529704,source_domain
beats,cough,beats_official_dim_0418,-0.050814236993174895,0.050814236993174895,source_domain
beats,cough,beats_official_dim_0033,0.05035213477933789,0.05035213477933789,external_domain
beats,cough,beats_official_dim_0347,-0.04976134239643229,0.04976134239643229,source_domain
beats,cough,beats_official_dim_0210,0.04904398514903759,0.04904398514903759,external_domain
beats,cough,beats_official_dim_0255,-0.048698289771813945,0.048698289771813945,source_domain
beats,cough,beats_official_dim_0663,0.048424972448931104,0.048424972448931104,external_domain
beats,cough,beats_official_dim_0744,-0.04803078085834103,0.04803078085834103,source_domain
beats,cough,beats_official_dim_0140,0.04758852705230767,0.04758852705230767,external_domain
beats,cough,beats_official_dim_0506,0.04749686527737575,0.04749686527737575,external_domain
beats,cough,beats_official_dim_0597,-0.0448052834393012,0.0448052834393012,source_domain
beats,cough,beats_official_dim_0096,-0.04373582845957149,0.04373582845957149,source_domain
beats,cough,beats_official_dim_0580,-0.0436083148744973,0.0436083148744973,source_domain
beats,cough,beats_official_dim_0185,0.04310112938428793,0.04310112938428793,external_domain
beats,cough,beats_official_dim_0705,-0.04216668369864514,0.04216668369864514,source_domain
beats,cough,beats_official_dim_0101,0.04173023053739925,0.04173023053739925,external_domain
beats,cough,beats_official_dim_0022,0.041382748784755514,0.041382748784755514,external_domain
beats,cough,beats_official_dim_0524,0.04029147865794879,0.04029147865794879,external_domain
beats,cough,beats_official_dim_0130,-0.03849490392120649,0.03849490392120649,source_domain
beats,cough,beats_official_dim_0541,0.03741028597266446,0.03741028597266446,external_domain
beats,cough,beats_official_dim_0438,-0.036901896839797686,0.036901896839797686,source_domain
beats,cough,beats_official_dim_0183,-0.03571454632448343,0.03571454632448343,source_domain
beats,cough,beats_official_dim_0187,-0.03511959469504541,0.03511959469504541,source_domain
beats,cough,beats_official_dim_0240,0.035009758623300385,0.035009758623300385,external_domain
beats,cough,beats_official_dim_0460,0.034360356560481184,0.034360356560481184,external_domain
beats,cough,beats_official_dim_0715,0.034324804115874595,0.034324804115874595,external_domain
beats,cough,beats_official_dim_0269,0.03392435828181765,0.03392435828181765,external_domain
beats,cough,beats_official_dim_0508,-0.03276816494999488,0.03276816494999488,source_domain
beats,cough,beats_official_dim_0229,-0.030219782344819725,0.030219782344819725,source_domain
beats,cough,beats_official_dim_0341,-0.030042470866902083,0.030042470866902083,source_domain
beats,cough,beats_official_dim_0363,0.02995161116828631,0.02995161116828631,external_domain
beats,cough,beats_official_dim_0035,-0.02952053678703869,0.02952053678703869,source_domain
beats,cough,beats_official_dim_0596,0.029231364985617382,0.029231364985617382,external_domain
beats,cough,beats_official_dim_0182,0.028752297968554497,0.028752297968554497,external_domain
beats,cough,beats_official_dim_0376,-0.028138901632297052,0.028138901632297052,source_domain
beats,cough,beats_official_dim_0161,0.027533337743891467,0.027533337743891467,external_domain
beats,cough,beats_official_dim_0027,-0.027287245464367754,0.027287245464367754,source_domain
beats,cough,beats_official_dim_0226,-0.027238896340898256,0.027238896340898256,source_domain
beats,cough,beats_official_dim_0709,-0.026510773792618444,0.026510773792618444,source_domain
beats,cough,beats_official_dim_0555,-0.026379332224233012,0.026379332224233012,source_domain
beats,cough,beats_official_dim_0696,-0.025656756576467453,0.025656756576467453,source_domain
beats,cough,beats_official_dim_0671,0.02551597598241168,0.02551597598241168,external_domain
beats,cough,beats_official_dim_0412,-0.025065907154289163,0.025065907154289163,source_domain
beats,cough,beats_official_dim_0445,-0.024385128469186623,0.024385128469186623,source_domain
beats,cough,beats_official_dim_0444,0.023678842379363962,0.023678842379363962,external_domain
beats,cough,beats_official_dim_0353,-0.023069705096935098,0.023069705096935098,source_domain
beats,cough,beats_official_dim_0370,-0.02272540140914877,0.02272540140914877,source_domain
beats,cough,beats_official_dim_0667,-0.0225827370349154,0.0225827370349154,source_domain
beats,cough,beats_official_dim_0322,-0.02239398899409518,0.02239398899409518,source_domain
beats,cough,beats_official_dim_0746,-0.022350844084423307,0.022350844084423307,source_domain
beats,cough,beats_official_dim_0352,0.02234401817946102,0.02234401817946102,external_domain
beats,cough,beats_official_dim_0144,-0.022246621203719924,0.022246621203719924,source_domain
beats,cough,beats_official_dim_0310,-0.02187451461331692,0.02187451461331692,source_domain
beats,cough,beats_official_dim_0055,-0.020792963006970866,0.020792963006970866,source_domain
beats,cough,beats_official_dim_0063,0.02076372791066554,0.02076372791066554,external_domain
beats,cough,beats_official_dim_0362,0.020344965226098417,0.020344965226098417,external_domain
beats,cough,beats_official_dim_0747,0.019155583902429215,0.019155583902429215,external_domain
beats,cough,beats_official_dim_0031,-0.018857309370004023,0.018857309370004023,source_domain
beats,cough,beats_official_dim_0637,-0.018552614343541732,0.018552614343541732,source_domain
beats,cough,beats_official_dim_0531,-0.01781098874383516,0.01781098874383516,source_domain
beats,cough,beats_official_dim_0356,-0.017536714506630195,0.017536714506630195,source_domain
beats,cough,beats_official_dim_0502,0.017129227320525194,0.017129227320525194,external_domain
beats,cough,beats_official_dim_0666,-0.016232735912177682,0.016232735912177682,source_domain
beats,cough,beats_official_dim_0454,0.01607573425996422,0.01607573425996422,external_domain
beats,cough,beats_official_dim_0300,-0.015996542796962575,0.015996542796962575,source_domain
beats,cough,beats_official_dim_0002,0.015511409802506707,0.015511409802506707,external_domain
beats,cough,beats_official_dim_0426,-0.015393253980638474,0.015393253980638474,source_domain
beats,cough,beats_official_dim_0720,0.01508668977827398,0.01508668977827398,external_domain
beats,cough,beats_official_dim_0218,-0.015002910544473684,0.015002910544473684,source_domain
beats,cough,beats_official_dim_0227,-0.014257441761551023,0.014257441761551023,source_domain
beats,cough,beats_official_dim_0143,-0.013847387285734761,0.013847387285734761,source_domain
beats,cough,beats_official_dim_0437,-0.01349301196944274,0.01349301196944274,source_domain
beats,cough,beats_official_dim_0635,0.013134746062667865,0.013134746062667865,external_domain
beats,cough,beats_official_dim_0265,0.012917024194817276,0.012917024194817276,external_domain
