audit_model,feature,feature_group,importance_mean,importance_std,n_repeats,scoring
full_safe_metadata,country_Vietnam,demographic,0.0,0.0,20,roc_auc
full_safe_metadata,comorbidities_json_asthma,comorbidity_proxy,-0.00011386791322067768,0.0002522406464432769,20,roc_auc
full_safe_metadata,comorbidities_json_smoker,comorbidity_proxy,-0.0004763776345020898,0.000407497657635409,20,roc_auc
full_safe_metadata,gender_other,demographic,-0.0009629573880345465,0.0001590860409032816,20,roc_auc
full_safe_metadata,country_France,demographic,-0.0012593484581141733,0.00022486821094042507,20,roc_auc
symptoms_only,symptoms_json_cough,symptom_or_label_proxy,0.03896714694675098,0.002805313993782114,20,roc_auc
symptoms_only,symptoms_json_ftg,symptom_or_label_proxy,0.036204296039849496,0.003081760097967302,20,roc_auc
symptoms_only,symptoms_json_fever,symptom_or_label_proxy,0.032132187128047676,0.002345197623121152,20,roc_auc
symptoms_only,symptoms_json_st,symptom_or_label_proxy,0.022341985622259496,0.001850620308695689,20,roc_auc
symptoms_only,symptoms_json_mp,symptom_or_label_proxy,0.01884369015662757,0.001697635425800856,20,roc_auc
symptoms_only,symptoms_json_cold,symptom_or_label_proxy,0.008120148070099087,0.002235889251964484,20,roc_auc
symptoms_only,symptoms_json_bd,symptom_or_label_proxy,0.007440717604787678,0.001334804430175689,20,roc_auc
symptoms_only,symptoms_json_loss_of_smell,symptom_or_label_proxy,0.007232061970904385,0.0013981786397942407,20,roc_auc
symptoms_only,symptoms_json_others_resp,symptom_or_label_proxy,0.005630203847258075,0.0007687632915923889,20,roc_auc
symptoms_only,symptoms_json_diarrhoea,symptom_or_label_proxy,-0.00046393160677808963,0.0007588748503108677,20,roc_auc
demographic_protocol_only,recording_year,recording_protocol,0.3329791720673787,0.008660344579115757,20,roc_auc
demographic_protocol_only,recording_month,recording_protocol,0.09147604592626053,0.00420850571748536,20,roc_auc
demographic_protocol_only,country_India,demographic,0.01659829016945008,0.0017450994171060482,20,roc_auc
demographic_protocol_only,age,demographic,0.006259682953820178,0.00045969552530569785,20,roc_auc
demographic_protocol_only,country_China,demographic,0.002873095116641572,0.001156260738660459,20,roc_auc
demographic_protocol_only,country_Malaysia,demographic,0.0015315722134418453,0.0010394239131205373,20,roc_auc
demographic_protocol_only,gender_other,demographic,0.0011940381715351057,0.0006580156444978995,20,roc_auc
demographic_protocol_only,quality_flag_corrupt,recording_protocol,0.0011419125906972417,0.0003705840363563182,20,roc_auc
demographic_protocol_only,country_France,demographic,0.0007296187585193237,0.0004673476461676289,20,roc_auc
demographic_protocol_only,quality_flag_mostly_silence,recording_protocol,0.00044855874162728627,0.0003551452751280518,20,roc_auc
demographic_protocol_only,country_Canada,demographic,0.0003635968323257632,0.0006847994967221089,20,roc_auc
demographic_protocol_only,country_Saudi Arabia,demographic,0.0003262169371901824,0.00031204863370104383,20,roc_auc
demographic_protocol_only,quality_flag_ok,recording_protocol,0.00024097628146710348,6.213954251682626e-05,20,roc_auc
demographic_protocol_only,country_Finland,demographic,0.00021923406058285133,0.000260163870208989,20,roc_auc
demographic_protocol_only,country_Oman,demographic,0.00017597261595168613,0.0001959472967194543,20,roc_auc
demographic_protocol_only,duration_sec,recording_protocol,0.00016582624620567477,0.0006071945202300838,20,roc_auc
demographic_protocol_only,country_Netherlands The,demographic,0.00013248817418313186,0.00020760125326385346,20,roc_auc
demographic_protocol_only,country_United States,demographic,0.00012365191261868303,0.00010038383541857772,20,roc_auc
demographic_protocol_only,sample_rate_original,recording_protocol,7.377024047465208e-05,8.109802588243864e-05,20,roc_auc
demographic_protocol_only,country_Argentina,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Australia,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Bahrain,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Bangladesh,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Egypt,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Germany,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Greece,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Iran,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Iraq,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Israel,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Japan,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Portugal,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Qatar,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Romania,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Singapore,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_South Africa,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Spain,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Switzerland,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Syria,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Thailand,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Turkey,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_United Kingdom,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,country_Vietnam,demographic,0.0,0.0,20,roc_auc
demographic_protocol_only,quality_flag_short,recording_protocol,-4.3651689621354575e-05,0.00012231945631971427,20,roc_auc
demographic_protocol_only,gender_male,demographic,-0.00023760344976561654,4.628839274524142e-05,20,roc_auc
demographic_protocol_only,gender_female,demographic,-0.0003133667271545459,6.359290341036637e-05,20,roc_auc
