auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,evaluation_protocol,analysis_family,model_name,modality,metric_split,threshold_source,skipped,n_features,n_participants,n_ensemble_models,ensemble_members,modality_combination,fusion_method,feature_strategy,selected_feature_k,delta_auroc_from_existing,random_state
0.8971050684424714,0.8627298641826996,0.824685534591195,0.7522123893805309,0.8333333333333334,0.8160377358490566,0.13859556870218198,0.16952905048655106,0.44102124585236235,0.493016678336186,314.0,compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,314.0,,,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,0.0,42
0.8492605233219568,0.7829554031956836,0.7834001088193105,0.7050359712230215,0.7101449275362319,0.856655290102389,0.13786184737535256,0.04543366811666218,0.4358007838231136,0.3357010238303837,431.0,compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,431.0,,,cough+breath+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,-0.047844545120514614,42
0.6979960317460316,0.8963711043036492,0.65625,0.7508650519031141,0.6458333333333334,0.6666666666666666,0.6495978623676356,0.711266785736571,2.0853720034669734,0.05873337508934501,411.0,compare_is10_temporal_early_to_late,strong_audio_modality,top_4_validation_ensemble,breath,test,validation_balanced_accuracy,False,,411.0,4.0,"lightgbm_smote_f80,svc_rbf_f60,xgboost_smote_f80,catboost_smote_f80",,,compare_is10_top800_lightgbm,800.0,-0.19910903669643976,42
0.8912319644839067,0.8553115318667746,0.8110895301516834,0.7302904564315352,0.8627450980392157,0.7594339622641509,0.13883153193073333,0.15507624443180631,0.4416128500685405,0.44965897104095864,314.0,compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,314.0,,,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,0.0,43
0.8593318199763127,0.7989317992941972,0.7748716936439005,0.6956521739130435,0.6470588235294118,0.9026845637583892,0.14465498846180985,0.11976676954646326,0.45270244929134834,0.6135997457690663,434.0,compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,434.0,,,cough+breath+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,-0.03190014450759404,43
0.6850595238095238,0.8922007226199744,0.6423809523809524,0.8025889967637541,0.7380952380952381,0.5466666666666666,0.6514443856906833,0.7122010430504971,2.095684758734181,0.04419133051447127,411.0,compare_is10_temporal_early_to_late,strong_audio_modality,top_4_validation_ensemble,breath,test,validation_balanced_accuracy,False,,411.0,4.0,"lightgbm_smote_f80,xgboost_smote_f80,catboost_smote_f80,svc_rbf_f60",,,compare_is10_top800_lightgbm,800.0,-0.2061724406743829,43
0.8940066592674806,0.8602221049990878,0.8197835738068813,0.7466666666666667,0.8235294117647058,0.8160377358490566,0.13917852639752534,0.16723720220131622,0.4426304078521758,0.47822727081880045,314.0,compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,314.0,,,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,0.0,44
0.8603718102073364,0.7976266059691249,0.7828947368421053,0.6898954703832753,0.75,0.8157894736842105,0.14006565487864034,0.12114442577619033,0.4456707287346078,0.4660946164039394,436.0,compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,436.0,,,cough+breath+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,-0.033634849060144134,44
0.6839087301587302,0.8945389862677432,0.6473809523809524,0.7547169811320755,0.6547619047619048,0.64,0.7226728922130242,0.7583307878445577,3.272848694294397,0.010326776978872465,411.0,compare_is10_temporal_early_to_late,strong_audio_modality,lightgbm_smote_f80,breath,test,validation_balanced_accuracy,False,800.0,411.0,,,,,compare_is10_top800_lightgbm,800.0,-0.21009792910875036,44
0.904874213836478,0.8699678762352341,0.8366629670736219,0.7678571428571429,0.8431372549019608,0.8301886792452831,0.125749222177318,0.142945663572002,0.4146114551174481,0.34491814187993386,314.0,compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,314.0,,,cough+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,0.0,45
0.9169923288464322,0.8873205386337781,0.8124909538283398,0.7647058823529411,0.6453900709219859,0.9795918367346939,0.11150155974462059,0.09532183270725993,0.37429893042346585,0.5129662641466393,435.0,compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,435.0,,,cough+breath+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,0.012118115009954189,45
0.6938293650793651,0.8968960116122013,0.6616666666666666,0.8129032258064516,0.75,0.5733333333333334,0.5871972018098943,0.6632386152150657,1.9291942108689375,0.058097582310438156,411.0,compare_is10_temporal_early_to_late,strong_audio_modality,xgboost_smote_f80,breath,test,validation_balanced_accuracy,False,800.0,411.0,,,,,compare_is10_top800_lightgbm,800.0,-0.21104484875711294,45
0.8979374768775434,0.8658482236673254,0.8130780614132446,0.7350427350427351,0.8431372549019608,0.7830188679245284,0.13649958759334613,0.16628268386251574,0.43606337833051667,0.4577343880119261,314.0,compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,314.0,,,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,0.0,46
0.880015450726667,0.8380441597582295,0.8149051228815605,0.7414965986394558,0.7841726618705036,0.8456375838926175,0.12471827765468183,0.09784957127645878,0.4014468283547613,0.43789313284211695,437.0,compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,test,validation_balanced_accuracy,False,,437.0,,,cough+breath+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,-0.017922026150876458,46
0.6893055555555555,0.8946210558779835,0.6510714285714285,0.7517241379310344,0.6488095238095238,0.6533333333333333,0.6511438576673825,0.7117033175607311,2.098154541239478,0.05757397599370255,411.0,compare_is10_temporal_early_to_late,strong_audio_modality,top_4_validation_ensemble,breath,test,validation_balanced_accuracy,False,,411.0,4.0,"lightgbm_smote_f80,xgboost_smote_f80,catboost_smote_f80,svc_rbf_f60",,,compare_is10_top800_lightgbm,800.0,-0.20863192132198793,46
