evaluation_protocol,n_samples,mean_probability,mean_confidence,high_confidence_share,error_rate,high_confidence_error_rate
existing_participant_split,318,0.4717428106839635,0.6509692015767673,0.08176100628930817,0.2138364779874214,0.038461538461538464
temporal_early_to_late,424,0.4131040193521887,0.6607232370975422,0.1179245283018868,0.4716981132075472,0.66
time_stratified_participant_split,444,0.4418178403605949,0.6693441533422602,0.11261261261261261,0.28378378378378377,0.08
