feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank
strong__chroma_02_q25,0.06716091595879053,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,47
compare2016__opensmile_compare2016_mfcc_sma_de_11_meanFallingSlope,0.06453377157724303,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,48
compare2016__opensmile_compare2016_shimmerLocal_sma_percentile1_0,0.06415553860562846,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,49
strong__mfcc_20_min,0.06356368499648267,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,50
is10__opensmile_is10_mfcc_sma_de_5_skewness,0.06349539070041649,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,51
strong__chroma_07_min,0.06259857768163879,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,52
strong__mel_band_64_q75,0.061942941020800314,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,53
is10__opensmile_is10_voicingFinalUnclipped_sma_de_percentile1_0,0.06147132945140612,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,54
compare2016__opensmile_compare2016_mfcc_sma_de_4_peakDistStddev,0.05969562444163554,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,55
is10__opensmile_is10_shimmerLocal_sma_quartile1,0.05870752255060446,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,56
is10__opensmile_is10_mfcc_sma_14_skewness,0.05830146771676837,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,57
compare2016__opensmile_compare2016_voicingFinalUnclipped_sma_percentile99_0,0.05779223386803083,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,58
strong__mfcc_09_q75,0.05747728048750994,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,59
compare2016__opensmile_compare2016_mfcc_sma_2_meanPeakDist,0.05536908076911192,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,60
strong__mfcc_26_min,0.05499337914686758,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,61
strong__spectral_contrast_01_median,0.054214196380031617,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,62
compare2016__opensmile_compare2016_pcm_fftMag_spectralFlux_sma_de_skewness,0.05298186229247714,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,63
compare2016__opensmile_compare2016_mfcc_sma_4_amean,0.05164256456576097,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,64
strong__mfcc_08_mean,0.0514570935662518,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,65
compare2016__opensmile_compare2016_F0final_sma_ff0_segLenStddev,0.05129547111658475,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,66
strong__mel_band_04_q75,0.05083050295592117,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,67
strong__mfcc_19_max,0.05069399285972187,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,68
strong__mfcc_03_min,0.05035243310229648,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,69
compare2016__opensmile_compare2016_mfcc_sma_de_11_meanRisingSlope,0.05013920685013858,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,70
is10__opensmile_is10_mfcc_sma_5_percentile1_0,0.04962358325940134,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,71
strong__mfcc_17_mean,0.04888325253430833,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,72
strong__mfcc_33_min,0.048860833089992034,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,73
compare2016__opensmile_compare2016_audspec_lengthL1norm_sma_stddevFallingSlope,0.048590375449455325,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,74
compare2016__opensmile_compare2016_pcm_fftMag_spectralSlope_sma_de_lpc2,0.04845985796143675,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,75
is10__opensmile_is10_voicingFinalUnclipped_sma_de_skewness,0.0472982872400143,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,76
compare2016__opensmile_compare2016_mfcc_sma_de_2_percentile1_0,0.04723824630580828,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,77
compare2016__opensmile_compare2016_pcm_RMSenergy_sma_de_peakRangeAbs,0.04674040583136125,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,78
compare2016__opensmile_compare2016_mfcc_sma_de_5_skewness,0.04548385483767709,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,79
strong__mfcc_35_max,0.0451185162852315,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,80
compare2016__opensmile_compare2016_audspec_lengthL1norm_sma_de_minRangeRel,0.044844665795577686,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,81
strong__spectral_contrast_01_q75,0.044737361791280274,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,82
compare2016__opensmile_compare2016_mfcc_sma_4_meanPeakDist,0.04381777546662716,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,83
strong__mel_band_64_max,0.04357627850307987,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,84
compare2016__opensmile_compare2016_logHNR_sma_pctlrange0_1,0.04345471132697553,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,85
strong__mfcc_09_min,0.04339947877252829,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,86
is10__opensmile_is10_logMelFreqBand_sma_5_quartile2,0.042892720034298205,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,87
strong__mfcc_09_max,0.0425232950880009,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,88
compare2016__opensmile_compare2016_pcm_fftMag_fband1000_4000_sma_iqr1_2,0.042436730178836334,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,89
is10__opensmile_is10_F0final_sma_de_kurtosis,0.04241997886732458,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,90
strong__mel_band_04_max,0.042312244973754215,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,91
strong__delta2_mfcc_32_skew,0.041704815037862886,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,92
compare2016__opensmile_compare2016_mfcc_sma_de_3_peakDistStddev,0.04143801210863506,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,93
strong__mfcc_19_min,0.040841427465003514,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,94
compare2016__opensmile_compare2016_mfcc_sma_de_3_meanPeakDist,0.04084009397948082,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,95
is10__opensmile_is10_mfcc_sma_4_quartile3,0.040787482533166886,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,96
compare2016__opensmile_compare2016_mfcc_sma_14_amean,0.04046363594385427,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,97
strong__mfcc_21_min,0.0398685229082514,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,98
strong__mfcc_20_mean,0.03950979832069975,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,99
compare2016__event_end_sec,0.039098220236057,lightgbm,train,per_modality_mean,3.0,12685.0,4035.0,8650.0,100
