audit_model,split,feature,feature_group,coefficient,mean_shap,mean_abs_shap,max_abs_shap,positive_label_share,direction_by_mean_shap,rank
demographic_protocol_only,test,recording_year,recording_protocol,2.6478779271474098,-0.02469894452912618,2.281779261461598,5.341663639313274,0.39937106918238996,negative_label,1
demographic_protocol_only,test,recording_month,recording_protocol,1.3996617193132173,0.11099185314592878,1.1044501764923762,3.9152695952670635,0.3742138364779874,positive_label,2
demographic_protocol_only,test,country_India,demographic,0.6347018150223923,0.01669970901979342,0.34821759870494673,2.0273594023053607,0.9182389937106918,positive_label,3
demographic_protocol_only,test,age,demographic,0.24772355145800498,0.003767361993742873,0.1981417004919078,1.146681075853141,0.37735849056603776,positive_label,4
demographic_protocol_only,test,duration_sec,recording_protocol,-0.2538044024832229,0.0048797122997160675,0.1797970690518314,0.7636966839235707,0.5814116002795248,positive_label,5
demographic_protocol_only,test,country_China,demographic,-0.4293946322867883,-0.0036352984119625755,0.04821995771052979,8.244985723476287,0.9968553459119497,negative_label,6
demographic_protocol_only,test,country_United Kingdom,demographic,-0.6164865243986141,0.042515910807191686,0.042515910807191686,0.04251591080719168,1.0,positive_label,7
demographic_protocol_only,test,country_France,demographic,0.3446137158810055,-0.017221186070104887,0.04225743412888281,3.980763441345689,0.0031446540880503146,negative_label,8
demographic_protocol_only,test,quality_flag_corrupt,recording_protocol,-0.21268813447470727,0.012423453669591269,0.03995987063388874,1.7132440293873776,0.9919636617749825,positive_label,9
demographic_protocol_only,test,quality_flag_mostly_silence,recording_protocol,0.11009456025391577,0.005057280308887278,0.03792977532816743,0.7152846118212242,0.03004891684136967,positive_label,10
demographic_protocol_only,test,gender_female,demographic,-0.026109672202782146,-0.0005446057304789958,0.024049036758668773,0.04031329026571646,0.6949685534591195,negative_label,11
demographic_protocol_only,test,country_Malaysia,demographic,-0.190673119326083,-0.009298285033012263,0.023288005375363737,5.181220174931783,0.9968553459119497,negative_label,12
demographic_protocol_only,test,country_Canada,demographic,-0.1466866824015847,-0.000383241397346388,0.02319590838915623,1.8745424080269584,0.9937106918238994,negative_label,13
