prediction_source,evaluation_protocol,analysis_family,model_name,modality,submodality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,split,analysis,n_aligned,duration_mean,duration_std,probability_duration_pearson,probability_duration_spearman
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,296,10.726572846283783,4.731751957353939,0.0007090669188680121,0.0035017529632855805
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,297,10.394102483164984,4.999488473108608,0.0035457920695520524,-0.04217436835797299
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,312,5.904469551282052,2.171198070230036,-0.2050967019774335,-0.1856905266047982
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,305,6.005301844262295,2.156488639625109,-0.13804212284694362,-0.14424802025201364
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,310,5.284275403225807,2.0469814119371894,-0.24458886758679263,-0.3235640702146238
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,306,5.263009395424836,2.285373298858052,-0.18193510379968975,-0.21434851415136055
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,7.967924035369775,2.3566379561885418,0.03645785969575578,-0.06822417956070957
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,308,8.068978287337663,2.32110860616759,0.10584786973921999,-0.061737405365313074
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,14.163036374598072,4.260508511630812,-0.0714452120713719,-0.06399281806350593
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,307,14.559037459283386,4.277978827603208,-0.014389687053619366,-0.1526258113104658
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,297,9.897281986531986,5.502839198699246,-0.21375631950187424,-0.1778262414889553
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,9.639350765306123,4.937730925428704,-0.2899411937766112,-0.3041263629763436
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,295,10.817501483050847,6.157727807469651,-0.24823832806428311,-0.24422116196176516
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,10.678389030612244,5.441409579959869,-0.30024349265230305,-0.30017976705614824
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,289,10.364101211072663,5.461551854400567,-0.22727198906182283,-0.23751759385864057
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,lightgbm_smote_f80,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,289,10.390499783737024,5.067222280510084,-0.2643512537511377,-0.263574227064768
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,298,16.67239744127517,6.575681338280656,-0.2999740727063303,-0.3009391972920797
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,302,16.679171150662253,5.7378571341312,-0.17988875890605383,-0.16117829294265093
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,296,10.726572846283783,4.731751957353939,-0.01981564520343706,-0.025812326897653948
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,297,10.394102483164984,4.999488473108608,-0.13710788224364576,-0.1526582093793431
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,312,5.904469551282052,2.171198070230036,-0.2565826941097975,-0.23419746467681776
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,305,6.005301844262295,2.156488639625109,-0.12208789212270817,-0.13303701340116472
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,310,5.284275403225807,2.0469814119371894,-0.33815590273494567,-0.40170497315185566
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,cough,shallow_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,306,5.263009395424836,2.285373298858052,-0.21926838254271996,-0.2586020536730969
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,7.967924035369775,2.3566379561885418,0.011262310674646055,-0.09432232199447942
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,counting_fast,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,308,8.068978287337663,2.32110860616759,0.08610228821885606,-0.07269176916283272
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,311,14.163036374598072,4.260508511630812,-0.04470986963453477,-0.050770498121343786
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,counting_normal,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,307,14.559037459283386,4.277978827603208,-0.039910383366894106,-0.16892679883868905
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,297,9.897281986531986,5.502839198699246,-0.21414903518626763,-0.1958649492021223
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_a,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,9.639350765306123,4.937730925428704,-0.32876622629006735,-0.33672953682267875
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,295,10.817501483050847,6.157727807469651,-0.26043112019285847,-0.24495922782322313
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_e,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,294,10.678389030612244,5.441409579959869,-0.28038152168469743,-0.27158989106536807
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,289,10.364101211072663,5.461551854400567,-0.23178958336187774,-0.238478878475512
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,svc_rbf_f60,speech,vowel_o,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,289,10.390499783737024,5.067222280510084,-0.270049893815994,-0.27263335197263716
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,298,16.67239744127517,6.575681338280656,-0.2622527390281844,-0.26289290614766436
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,breath,deep_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,302,16.679171150662253,5.7378571341312,-0.17752912604374124,-0.16058226255683739
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,296,10.726572846283783,4.731751957353939,0.006986640542646625,-0.008465288233940722
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,breath,shallow_breath,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,297,10.394102483164984,4.999488473108608,-0.042742094996466355,-0.08305808411293132
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,test,test,duration_shortcut,312,5.904469551282052,2.171198070230036,-0.20957318384177367,-0.19709516060461538
compare_is10_final_validation_predictions,compare_is10_existing_participant_split,strong_audio_modality,top_4_validation_ensemble,cough,heavy_cough,,,compare_is10_top800_lightgbm,800.0,validation,validation,duration_shortcut,305,6.005301844262295,2.156488639625109,-0.1416524154495297,-0.1460176115273127
