audit_model,feature_group,n_features,importance_mean_sum,importance_mean_max,importance_std_mean,importance_share,top_feature,top_feature_importance_mean
demographic_protocol_only,recording_protocol,8,0.4264826104044898,0.3329791720673787,0.0018084163941293188,0.9343282062703137,recording_year,0.3329791720673787
demographic_protocol_only,demographic,37,0.02997648773934024,0.01659829016945008,0.00019990996127156502,0.0656717937296863,country_India,0.01659829016945008
full_safe_metadata,recording_protocol,8,0.1457791380603152,0.09844203050043347,0.0010049323793476653,0.7168701230004183,recording_year,0.09844203050043347
full_safe_metadata,symptom_or_label_proxy,10,0.03762576341676224,0.009235858497166566,0.0005020532050009691,0.18502500431439764,symptoms_json_cough,0.009235858497166566
full_safe_metadata,comorbidity_proxy,8,0.010528085095707606,0.006760771458596404,0.0004062479847624089,0.051771945958386356,comorbidities_json_others_preexist,0.006760771458596404
full_safe_metadata,demographic,37,0.00942203323214848,0.0074987247351212035,0.00013133883300756638,0.0463329267267977,country_India,0.0074987247351212035
symptoms_only,symptom_or_label_proxy,10,0.17644850577980634,0.03896714694675098,0.0018277037913204783,1.0,symptoms_json_cough,0.03896714694675098
