table_source,evaluation_protocol,analysis_family,model_name,modality,feature_strategy,n_samples,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,ece,nll
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,410,0.761,0.682,0.674,0.649,0.699,0.572,0.177,0.078,0.531
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.828,0.748,0.761,0.683,0.839,0.678,0.149,0.042,0.461
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,410,0.777,0.693,0.688,0.590,0.786,0.581,0.168,0.059,0.510
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.812,0.726,0.733,0.629,0.837,0.640,0.164,0.091,0.537
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,409,0.853,0.768,0.765,0.714,0.815,0.681,0.142,0.061,0.457
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.807,0.714,0.732,0.625,0.839,0.638,0.158,0.031,0.482
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.837,0.738,0.742,0.662,0.822,0.652,0.149,0.045,0.455
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.807,0.723,0.724,0.575,0.873,0.626,0.157,0.038,0.481
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.837,0.739,0.730,0.594,0.866,0.635,0.149,0.053,0.459
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.822,0.709,0.747,0.646,0.849,0.660,0.155,0.057,0.473
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,409,0.844,0.726,0.774,0.707,0.841,0.694,0.147,0.057,0.454
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.836,0.770,0.768,0.654,0.881,0.689,0.146,0.076,0.488
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,409,0.826,0.733,0.732,0.594,0.870,0.637,0.157,0.079,0.504
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.818,0.749,0.743,0.717,0.769,0.653,0.150,0.048,0.469
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.798,0.706,0.736,0.714,0.757,0.644,0.160,0.040,0.493
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.823,0.752,0.755,0.671,0.839,0.669,0.150,0.047,0.466
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.797,0.706,0.738,0.662,0.815,0.647,0.161,0.062,0.493
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.825,0.745,0.776,0.762,0.789,0.693,0.147,0.035,0.462
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,409,0.798,0.684,0.717,0.677,0.757,0.621,0.164,0.037,0.493
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.842,0.763,0.767,0.742,0.793,0.683,0.148,0.067,0.468
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,409,0.808,0.718,0.732,0.699,0.764,0.639,0.165,0.095,0.531
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.830,0.750,0.754,0.767,0.740,0.665,0.148,0.043,0.456
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.803,0.707,0.735,0.767,0.703,0.644,0.161,0.056,0.492
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.833,0.757,0.753,0.733,0.773,0.665,0.148,0.041,0.454
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.796,0.709,0.741,0.729,0.754,0.651,0.163,0.071,0.498
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,737,0.843,0.766,0.763,0.817,0.710,0.676,0.142,0.041,0.446
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,svc_rbf_f60,cough,compare_is10_top800_lightgbm,409,0.798,0.700,0.730,0.797,0.663,0.639,0.163,0.046,0.493
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,737,0.792,0.728,0.733,0.662,0.803,0.640,0.169,0.114,0.573
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,lightgbm_smote_f80,cough,compare_is10_top800_lightgbm,409,0.791,0.674,0.719,0.602,0.837,0.620,0.179,0.128,0.625
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.783,0.718,0.732,0.633,0.831,0.639,0.164,0.085,0.512
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,catboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.783,0.666,0.710,0.594,0.826,0.608,0.169,0.055,0.530
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,737,0.778,0.715,0.722,0.529,0.915,0.621,0.170,0.091,0.519
paper_comparable_cv_metrics,paper_comparable_10fold_cv,paper_comparable_cv,xgboost_smote_f80,cough,compare_is10_top800_lightgbm,409,0.780,0.663,0.680,0.451,0.909,0.550,0.171,0.068,0.538
