evaluation_protocol,analysis_family,model_name,modality,modality_combination,fusion_method,feature_strategy,selected_feature_k,metric_split,n_seeds,auroc_mean,auroc_std,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_min,auprc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_mean,f1_std,f1_min,f1_max,brier_mean,brier_std,brier_min,brier_max,ece_mean,ece_std,ece_min,ece_max
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,cough+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,test,1,0.904874213836478,,0.904874213836478,0.904874213836478,0.8699678762352341,,0.8699678762352341,0.8699678762352341,0.8366629670736219,,0.8366629670736219,0.8366629670736219,0.7678571428571429,,0.7678571428571429,0.7678571428571429,0.125749222177318,,0.125749222177318,0.125749222177318,0.142945663572002,,0.142945663572002,0.142945663572002
compare_is10_existing_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,cough+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,test,4,0.8950702922678505,0.00306730810338836,0.8912319644839067,0.8979374768775434,0.8610279311789718,0.004451904931267488,0.8553115318667746,0.8658482236673254,0.8171591749907511,0.006245788834252726,0.8110895301516834,0.824685534591195,0.741053061880367,0.010132470144623562,0.7302904564315352,0.7522123893805309,0.1382763036559467,0.0012084334831225022,0.13649958759334613,0.13917852639752534,0.16453129524554733,0.006448897525425823,0.15507624443180631,0.16952905048655106
compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,cough+breath+speech,uniform_mean,compare_is10_top800_lightgbm,800.0,test,2,0.8831264260841944,0.04789361898836509,0.8492605233219568,0.9169923288464322,0.8351379709147309,0.07379729498772913,0.7829554031956836,0.8873205386337781,0.7979455313238252,0.020570333776331415,0.7834001088193105,0.8124909538283398,0.7348709267879814,0.04219299879276475,0.7050359712230215,0.7647058823529411,0.12468170355998658,0.018639538137718452,0.11150155974462059,0.13786184737535256,0.07037775041196105,0.035276259482962265,0.04543366811666218,0.09532183270725993
compare_is10_time_stratified_participant_split,strong_multimodal_fusion,strong_baseline_selected_fusion,multimodal,cough+breath+speech,stacked_logistic_validation,compare_is10_top800_lightgbm,800.0,test,3,0.8665730269701054,0.011653088099657719,0.8593318199763127,0.880015450726667,0.8115341883405173,0.022967581954352428,0.7976266059691249,0.8380441597582295,0.7908905177891888,0.021180610209504982,0.7748716936439005,0.8149051228815605,0.7090147476452581,0.028276985198025528,0.6898954703832753,0.7414965986394558,0.13647964033171067,0.010440916372611044,0.12471827765468183,0.14465498846180985,0.11292025553303746,0.013069760026218642,0.09784957127645878,0.12114442577619033
compare_is10_temporal_early_to_late,strong_audio_modality,xgboost_smote_f80,breath,,,compare_is10_top800_lightgbm,800.0,test,1,0.6938293650793651,,0.6938293650793651,0.6938293650793651,0.8968960116122013,,0.8968960116122013,0.8968960116122013,0.6616666666666666,,0.6616666666666666,0.6616666666666666,0.8129032258064516,,0.8129032258064516,0.8129032258064516,0.5871972018098943,,0.5871972018098943,0.5871972018098943,0.6632386152150657,,0.6632386152150657,0.6632386152150657
compare_is10_temporal_early_to_late,strong_audio_modality,top_4_validation_ensemble,breath,,,compare_is10_top800_lightgbm,800.0,test,3,0.6907870370370369,0.006594270235045863,0.6850595238095238,0.6979960317460316,0.8943976276005356,0.002094149228984145,0.8922007226199744,0.8963711043036492,0.6499007936507937,0.0070082387268778365,0.6423809523809524,0.65625,0.7683927288659675,0.02961795166455186,0.7508650519031141,0.8025889967637541,0.6507287019085671,0.0009907965601968272,0.6495978623676356,0.6514443856906833,0.7117237154492665,0.00046746255202813016,0.711266785736571,0.7122010430504971
compare_is10_temporal_early_to_late,strong_audio_modality,lightgbm_smote_f80,breath,,,compare_is10_top800_lightgbm,800.0,test,1,0.6839087301587302,,0.6839087301587302,0.6839087301587302,0.8945389862677432,,0.8945389862677432,0.8945389862677432,0.6473809523809524,,0.6473809523809524,0.6473809523809524,0.7547169811320755,,0.7547169811320755,0.7547169811320755,0.7226728922130242,,0.7226728922130242,0.7226728922130242,0.7583307878445577,,0.7583307878445577,0.7583307878445577
