feature,source_mean,external_mean,source_std,external_std,standardized_mean_difference,abs_standardized_mean_difference,ks_statistic,n_source,n_external
active_audio_ratio,0.6425473212001609,0.4115469784318181,0.17580760034160192,0.22197073614482463,-1.153612544941499,1.153612544941499,0.4452130133320574,4094,8331
event_start_sec,1.0843111871030777,2.361528748049454,0.6703713062280348,1.5306293960594262,1.0808721807990744,1.0808721807990744,0.4638070521006262,4094,8331
beats_official_dim_0117,-0.036172796708268305,-0.15726173285832964,0.1735507870087207,0.1443820649043853,-0.7584674276260641,0.7584674276260641,0.3058503865205364,4094,8331
beats_official_dim_0681,0.0641021138866244,0.17267012764091455,0.1607172930656132,0.14249340924750542,0.7147648467819241,0.7147648467819241,0.29430962701798813,4094,8331
beats_official_dim_0360,0.2739512560277461,0.3569779657034541,0.13243624116106933,0.13468511403905298,0.6215620539622556,0.6215620539622556,0.2548292711016241,4094,8331
beats_official_dim_0070,-0.03929460045943231,0.0398886747684301,0.12655858156246216,0.13057489789844512,0.6157617720783928,0.6157617720783928,0.23507031406996204,4094,8331
beats_official_dim_0407,0.06177079914510753,0.12114747405844173,0.10472066201036563,0.09118465467195813,0.6046778009610299,0.6046778009610299,0.2491486966619339,4094,8331
beats_official_dim_0166,-0.014250827679440956,0.047424667516652204,0.10957659089179149,0.09731247583261877,0.5951168395293095,0.5951168395293095,0.23995612762780222,4094,8331
beats_official_dim_0022,0.13733711456873432,0.22431485844715887,0.14969170080138228,0.14288338103566026,0.5943510837238183,0.5943510837238183,0.2653821428573523,4094,8331
beats_official_dim_0527,-0.06578634963444982,-0.13378694920318585,0.12115817988519717,0.11012584117121689,-0.5873037141137845,0.5873037141137845,0.23022765866382017,4094,8331
beats_official_dim_0184,0.08400575677102212,0.16528885374600288,0.13252883816606953,0.1500303688029563,0.5741844082246743,0.5741844082246743,0.25281074792783703,4094,8331
beats_official_dim_0340,0.03316152347671414,0.10277280314586873,0.12801061787435083,0.11714572904959067,0.5672828315264703,0.5672828315264703,0.22787682944971538,4094,8331
beats_official_dim_0309,-0.13561077172834354,-0.23642800772957204,0.1862323909445467,0.17573068243822956,-0.556772101540163,0.556772101540163,0.21345775547001722,4094,8331
beats_official_dim_0000,-0.11632337072944537,-0.17436018871086453,0.1062422765387284,0.10360880649693596,-0.553029481590477,0.553029481590477,0.23702424661318455,4094,8331
beats_official_dim_0035,0.13955887883505214,0.21417127713335846,0.13974449066486966,0.13145526982108133,0.5499314339087563,0.5499314339087563,0.2221461188419519,4094,8331
beats_official_dim_0758,-0.06419639944727501,-0.1475977910895823,0.15099240295442143,0.15281457618166197,-0.5489822969258125,0.5489822969258125,0.19800537799826745,4094,8331
beats_official_dim_0408,0.12941426879955442,0.19941347079795083,0.12108534294960506,0.1383653501167005,0.5383557748709004,0.5383557748709004,0.21080816160522992,4094,8331
beats_official_dim_0296,0.12666861052047174,0.19166738134868821,0.12515623627148958,0.1164164990559709,0.5377280062649322,0.5377280062649322,0.2228815372652168,4094,8331
beats_official_dim_0242,0.46756976304381187,0.5548062665427562,0.1664254557696995,0.15836807186578875,0.5369663339341941,0.5369663339341941,0.19068986604964583,4094,8331
beats_official_dim_0275,-0.013753215972939237,0.06684363704193212,0.13975581902137932,0.15985894417714192,0.5367495935285256,0.5367495935285256,0.20259447926318247,4094,8331
beats_official_dim_0182,0.10100535036702413,0.16491855523933785,0.12023887957062993,0.12243047593012099,0.5266821873257186,0.5266821873257186,0.20213249353199453,4094,8331
