representation,model_name,feature_strategy,n_features,source_rows,external_rows,mmd_before,mmd_after_coral,mmd_reduction_coral
mfcc,logistic_regression,all,252,2957,8331,0.008226948414634672,0.004801812613019707,0.0034251358016149647
mfcc,logistic_regression,drop_high_shift,232,2957,8331,0.008115579191266709,0.0048600577829285285,0.00325552140833818
opensmile_egemaps,logistic_regression,all,92,2861,8331,0.005209196617769418,0.025176702325135025,-0.019967505707365607
opensmile_egemaps,logistic_regression,drop_high_shift,90,2861,8331,0.005207409121568807,0.025177077079196142,-0.019969667957627335
beats,logistic_regression,all,772,2861,8331,0.055279550905186214,0.0044674412615084425,0.05081210964367777
beats,logistic_regression,drop_high_shift,742,2861,8331,0.03592000028584208,0.004752828541216392,0.031167171744625688
panns,logistic_regression,all,1452,2861,8331,0.03341969864302763,0.002417034016307551,0.031002664626720078
panns,logistic_regression,drop_high_shift,1450,2861,8331,0.02226627297765038,0.002587415099897794,0.019678857877752587
