auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,cough
0.47945360126439385,0.3156724058308153,0.47945360126439374,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,cough
0.7963422894558592,0.6715989816286063,0.7394107021901106,0.6476578411405295,0.7718446601941747,0.7069767441860465,0.18828961170082123,0.1574655461283426,0.5665048862465664,0.5,636.0,logistic_regression,cough
0.8043576428087604,0.7169128559943263,0.6574170241589523,0.49324324324324326,0.35436893203883496,0.9604651162790697,0.1715386034235444,0.1151887699250958,0.5244061456095741,0.5,636.0,random_forest,cough
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,636.0,dummy_most_frequent,breath
0.47945360126439385,0.3156724058308153,0.47945360126439374,0.2961165048543689,0.2961165048543689,0.6627906976744186,0.4559748427672956,0.4559748427672956,6.2995257984365445,0.5,636.0,dummy_stratified,breath
0.7623391284714381,0.5755500072559496,0.6901670806051028,0.5950095969289827,0.7524271844660194,0.627906976744186,0.20207134585601905,0.1440608497706545,0.5862017272899469,0.5,636.0,logistic_regression,breath
0.7970365771054415,0.674904822278262,0.6776473244524723,0.5426829268292683,0.4320388349514563,0.9232558139534883,0.1690079487244462,0.07372517678018864,0.5164544666172431,0.5,636.0,random_forest,breath
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.3238993710691824,0.3238993710691824,4.474835856825244,0.5,1590.0,dummy_most_frequent,speech
0.5145947166403251,0.3306832753251511,0.5145947166403251,0.3427458617332035,0.341747572815534,0.6874418604651162,0.42452830188679247,0.4245283018867924,5.865075812337534,0.5,1590.0,dummy_stratified,speech
0.7479620681869497,0.6020342762851154,0.6740076766764507,0.5781845919145691,0.7359223300970874,0.6120930232558139,0.21023525002434074,0.16272070806386915,0.6046506354353683,0.5,1590.0,logistic_regression,speech
0.7564732445247234,0.6171794922297267,0.6432106570331904,0.47334200260078024,0.3533980582524272,0.9330232558139535,0.1816984147488406,0.07131384123741231,0.5456342229362565,0.5,1590.0,random_forest,speech
